trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;0,23;0,15;262192,0;29;65,22
2018Q2;0,24;0,17;263708,0;29;70,83
2018Q3;0,25;0,17;265641,0;29;68,0
2018Q4;0,26;0,17;266784,0;29;65,38
2019Q1;0,27;0,18;267827,0;30;66,67
2019Q2;0,28;0,2;271013,0;30;71,43
2019Q3;0,28;0,2;273382,0;30;71,43
2019Q4;0,29;0,21;276227,0;30;72,41
2020Q1;0,29;0,2;282084,0;31;68,97
2020Q2;0,3;0,15;287229,0;31;50,0
2020Q3;0,3;0,19;296509,0;31;63,33
2020Q4;0,32;0,22;302974,0;31;68,75
2021Q1;0,33;0,22;303944,0;31;66,67
2021Q2;0,34;0,25;302234,0;31;73,53
2021Q3;0,34;0,26;302549,0;31;76,47
2021Q4;0,33;0,27;303333,0;31;81,82
