trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;238,11;152,86;262192;29;64,2
2018Q2;245,45;171,33;263708;29;69,8
2018Q3;252,91;175,2;265646;30;69,27
2018Q4;241,25;159,69;239538;29;66,19
2019Q1;248,67;162,06;240651;29;65,17
2019Q2;299,92;206,95;271048;30;69,0
2019Q3;283,73;206,46;273439;31;72,77
2019Q4;293,73;205,85;276292;31;70,08
2020Q1;288,37;194,55;282084;31;67,47
2020Q2;295,53;148,0;287229;31;50,08
2020Q3;303,29;193,28;296509;31;63,73
2020Q4;323,12;222,01;302974;31;68,71
2021Q1;330,93;220,94;303944;31;66,76
2021Q2;342,39;247,43;302234;31;72,27
2021Q3;310,87;242,71;283236;30;78,07
2021Q4;354,47;285,68;303333;30;80,59
