trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;3,67;2,49;3393738,0;164;67,85
2018Q2;3,78;2,71;3420266,0;164;71,69
2018Q3;3,91;2,97;3419047,0;164;75,96
2018Q4;4,09;2,88;3480800,0;164;70,42
2019Q1;4,2;2,97;3515622,0;172;70,71
2019Q2;4,28;3,25;3560458,0;172;75,93
2019Q3;4,28;3,34;3600781,0;172;78,04
2019Q4;4,58;3,23;3620468,0;172;70,52
2020Q1;4,78;2,96;3752896,0;180;61,92
2020Q2;4,63;2,73;3724849,0;180;58,96
2020Q3;4,86;3,0;3898381,0;180;61,73
2020Q4;5,18;3,32;3984387,0;180;64,09
2021Q1;5,28;3,45;4002780,0;187;65,34
2021Q2;5,31;3,67;3991345,0;187;69,11
2021Q3;5,3;3,86;3970351,0;187;72,83
2021Q4;5,33;4,0;3984373,0;187;75,05
