trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;291,52;250,31;55593;5;85,86
2018Q2;302,29;278,5;54200;5;92,13
2018Q3;297,81;288,99;52992;5;97,04
2018Q4;308,59;282,86;51520;5;91,66
2019Q1;313,34;275,63;50264;5;87,97
2019Q2;314,55;284,57;49032;5;90,47
2019Q3;319,63;324,44;47820;5;101,5
2019Q4;324,69;307,09;46607;5;94,58
2020Q1;336,52;303,54;45612;5;90,2
2020Q2;336,55;254,34;44770;5;75,57
2020Q3;335,53;291,47;43855;5;86,87
2020Q4;352,32;318,49;43021;5;90,4
2021Q1;332,15;312,64;41833;5;94,13
2021Q2;318,34;314,98;40676;5;98,94
2021Q3;305,8;331,44;39625;5;108,38
2021Q4;296,66;337,4;38792;5;113,73
