trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;66,43;50,06;60638;2;75,36
2018Q2;68,25;54,46;62690;2;79,79
2018Q3;72,03;54,94;65322;2;76,27
2018Q4;75,38;54,35;67426;2;72,1
2019Q1;77,39;57,45;69339;2;74,23
2019Q2;80,43;62,69;72467;2;77,94
2019Q3;83,73;67,21;74904;2;80,27
2019Q4;88,09;73,95;78687;2;83,95
2020Q1;90,89;71,35;84662;2;78,5
2020Q2;96,31;55,57;91240;2;57,7
2020Q3;102,53;76,89;100357;2;74,99
2020Q4;115,33;87,37;106742;2;75,76
2021Q1;120,43;92,99;109099;2;77,21
2021Q2;129,27;99,36;108677;2;76,86
2021Q3;127,23;111,26;110260;2;87,45
2021Q4;125,41;111,38;111712;2;88,81
