ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;302147;2018Q1;697325893,1;463230201,2;372087;Medicina de Grupo;Grande;Individual
2018;302147;2018Q2;724091634,9;496132764,9;386305;Medicina de Grupo;Grande;Individual
2018;302147;2018Q3;777030600,7;499499348,2;395687;Medicina de Grupo;Grande;Individual
2018;302147;2018Q4;827138634,4;511219663,1;405498;Medicina de Grupo;Grande;Individual
2018;303623;2018Q1;96059348,96;68698673,1;64091;Medicina de Grupo;Grande;Individual
2018;303623;2018Q2;94820168,24;72045878,2;62535;Medicina de Grupo;Grande;Individual
2018;303623;2018Q3;97967119,07;67857286,8;61472;Medicina de Grupo;Grande;Individual
2018;303623;2018Q4;100010126,7;68078528,45;60242;Medicina de Grupo;Grande;Individual
2018;309222;2018Q1;102471328,8;54519036,02;84662;Medicina de Grupo;Grande;Individual
2018;309222;2018Q2;104322793,5;66606863,86;85659;Medicina de Grupo;Grande;Individual
2018;309222;2018Q3;107580692,7;65739894,9;84875;Medicina de Grupo;Grande;Individual
2018;309222;2018Q4;110816222,2;71920679,54;81798;Medicina de Grupo;Grande;Individual
2018;310247;2018Q1;8771807,45;5445754,04;8855;Medicina de Grupo;Grande;Individual
2018;310247;2018Q2;8756266,02;6642690,2;8622;Medicina de Grupo;Grande;Individual
2018;310247;2018Q3;8947596,33;5692670,2;8551;Medicina de Grupo;Grande;Individual
2018;310247;2018Q4;8925741,23;5951847,49;8390;Medicina de Grupo;Grande;Individual
2018;326305;2018Q1;849799796,5;790768701,5;491934;Medicina de Grupo;Grande;Individual
2018;326305;2018Q2;850368721,5;849704259,3;479142;Medicina de Grupo;Grande;Individual
2018;326305;2018Q3;854659365,9;892607769,2;467106;Medicina de Grupo;Grande;Individual
2018;326305;2018Q4;874603739,8;882145947,7;457916;Medicina de Grupo;Grande;Individual
2018;337510;2018Q1;24831124,11;15133387,15;40569;Medicina de Grupo;Grande;Individual
2018;337510;2018Q2;25555499,29;16165069,55;41109;Medicina de Grupo;Grande;Individual
2018;337510;2018Q3;26580437,59;16230426,1;41546;Medicina de Grupo;Grande;Individual
2018;337510;2018Q4;27395082,12;14012657,63;41733;Medicina de Grupo;Grande;Individual
2018;340782;2018Q1;79088440,12;50380748,23;135587;Medicina de Grupo;Grande;Individual
2018;340782;2018Q2;83212392,08;59168834,18;140215;Medicina de Grupo;Grande;Individual
2018;340782;2018Q3;90340530,81;60298604,1;143248;Medicina de Grupo;Grande;Individual
2018;340782;2018Q4;92221929,86;61560513,46;143827;Medicina de Grupo;Grande;Individual
2018;342033;2018Q1;6557846,67;6789235,32;7308;Medicina de Grupo;Grande;Individual
2018;342033;2018Q2;6771974,26;4921984,89;6978;Medicina de Grupo;Grande;Individual
2018;342033;2018Q3;6709225,59;6131243,89;6615;Medicina de Grupo;Grande;Individual
2018;342033;2018Q4;6554612,22;5406496,75;6288;Medicina de Grupo;Grande;Individual
2018;348180;2018Q1;6802794,4;2973263,5;8064;Medicina de Grupo;Grande;Individual
2018;348180;2018Q2;6851911,96;3415837,01;7979;Medicina de Grupo;Grande;Individual
2018;348180;2018Q3;6976694,53;2978461,79;7916;Medicina de Grupo;Grande;Individual
2018;348180;2018Q4;6999959,6;3203892,15;7852;Medicina de Grupo;Grande;Individual
2018;348520;2018Q1;33631723,87;24033625,88;34914;Medicina de Grupo;Grande;Individual
2018;348520;2018Q2;33473863,86;25478562,32;34707;Medicina de Grupo;Grande;Individual
2018;348520;2018Q3;34077627,5;25492451,68;33575;Medicina de Grupo;Grande;Individual
