trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;2,75;1,88;2277884;25;68,36
2018Q2;2,84;2,05;2304795;25;72,18
2018Q3;2,93;2,26;2303451;25;77,13
2018Q4;3,08;2,17;2361521;25;70,45
2019Q1;3,1;2,23;2360406;27;71,94
2019Q2;3,16;2,46;2368821;27;77,85
2019Q3;3,14;2,52;2364630;27;80,25
2019Q4;3,38;2,38;2374888;27;70,41
2020Q1;3,52;2,14;2510860;27;60,8
2020Q2;3,36;2,04;2481118;27;60,71
2020Q3;3,56;2,22;2630841;27;62,36
2020Q4;3,85;2,46;2685638;27;63,9
2021Q1;3,84;2,56;2684590;27;66,67
2021Q2;3,85;2,7;2662926;27;70,13
2021Q3;3,84;2,84;2637437;27;73,96
2021Q4;3,85;3,01;2779176;27;78,18
