ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;477;2018Q1;13661202,12;11198782,63;2595,0;Seguradora;Grande;Individual
2018;477;2018Q2;13786063,37;13417106,75;2549,0;Seguradora;Grande;Individual
2018;477;2018Q3;14382991,76;16168647,31;2492,0;Seguradora;Grande;Individual
2018;477;2018Q4;14301747,41;13246557,33;2453,0;Seguradora;Grande;Individual
2019;477;2019Q1;14259958,45;13290855,76;2411,0;Seguradora;Grande;Individual
2019;477;2019Q2;13445373,29;14897188,9;2378,0;Seguradora;Grande;Individual
2019;477;2019Q3;13960565,93;14775479,54;2333,0;Seguradora;Grande;Individual
2019;477;2019Q4;14150731,89;12779891,09;2301,0;Seguradora;Grande;Individual
2020;477;2020Q1;14050070,9;17048332,91;2250,0;Seguradora;Grande;Individual
2020;477;2020Q2;14034445,31;13554643,08;2226,0;Seguradora;Grande;Individual
2020;477;2020Q3;14025837,21;12496301,64;2190,0;Seguradora;Grande;Individual
2020;477;2020Q4;14069107,77;13832863,69;2161,0;Seguradora;Grande;Individual
2021;477;2021Q1;14452962,16;16537586,39;2104,0;Seguradora;Grande;Individual
2021;477;2021Q2;14515455,04;14854852,27;2056,0;Seguradora;Grande;Individual
2021;477;2021Q3;13917483,93;16756740,73;2034,0;Seguradora;Grande;Individual
2021;477;2021Q4;13508811,38;11798481,78;2017,0;Seguradora;Grande;Individual
2018;5711;2018Q1;128127975,9;103418593,5;24715,0;Seguradora;Grande;Individual
2018;5711;2018Q2;130323374,1;120385412,6;24102,0;Seguradora;Grande;Individual
2018;5711;2018Q3;120581666,8;119722151,9;23662,0;Seguradora;Grande;Individual
2018;5711;2018Q4;138723978,7;120467548,1;23066,0;Seguradora;Grande;Individual
2019;5711;2019Q1;134308554,6;117495528,4;22538,0;Seguradora;Grande;Individual
2019;5711;2019Q2;135609671,0;120320198,7;22014,0;Seguradora;Grande;Individual
2019;5711;2019Q3;138074942,5;141964208,0;21504,0;Seguradora;Grande;Individual
2019;5711;2019Q4;147203863,4;123043927,7;20979,0;Seguradora;Grande;Individual
2020;5711;2020Q1;144094489,7;124408547,9;20562,0;Seguradora;Grande;Individual
2020;5711;2020Q2;143951228,8;113456153,8;20157,0;Seguradora;Grande;Individual
2020;5711;2020Q3;143458802,9;130017258,2;19718,0;Seguradora;Grande;Individual
2020;5711;2020Q4;193212857,8;128315427,0;19333,0;Seguradora;Grande;Individual
2021;5711;2021Q1;148133446,7;135387857,4;18812,0;Seguradora;Grande;Individual
2021;5711;2021Q2;135884355,7;132973847,4;18378,0;Seguradora;Grande;Individual
2021;5711;2021Q3;127933377,7;135538421,3;17857,0;Seguradora;Grande;Individual
2021;5711;2021Q4;124381840,8;143237073,9;17496,0;Seguradora;Grande;Individual
2018;6246;2018Q1;141400326,0;128030247,0;24709,0;Seguradora;Grande;Individual
2018;6246;2018Q2;148732279,0;134654073,2;24141,0;Seguradora;Grande;Individual
2018;6246;2018Q3;152561828,6;146295911,9;23641,0;Seguradora;Grande;Individual
2018;6246;2018Q4;153384855,8;142474889,4;23124,0;Seguradora;Grande;Individual
2019;6246;2019Q1;156124976,0;140856085,4;22604,0;Seguradora;Grande;Individual
2019;6246;2019Q2;156375716,2;144857414,5;22038,0;Seguradora;Grande;Individual
2019;6246;2019Q3;160426279,7;149669970,6;21527,0;Seguradora;Grande;Individual
2019;6246;2019Q4;161087744,7;155723177,7;21028,0;Seguradora;Grande;Individual
2020;6246;2020Q1;160869378,9;148976121,0;20588,0;Seguradora;Grande;Individual
2020;6246;2020Q2;161189573,4;122111698,4;20240,0;Seguradora;Grande;Individual
2020;6246;2020Q3;161002007,9;134520831,1;19856,0;Seguradora;Grande;Individual
2020;6246;2020Q4;172601518,6;151456772,2;19489,0;Seguradora;Grande;Individual
2021;6246;2021Q1;163917248,7;145442113,6;18948,0;Seguradora;Grande;Individual
2021;6246;2021Q2;162586035,7;152164033,1;18332,0;Seguradora;Grande;Individual
2021;6246;2021Q3;158694625,7;163997274,8;17881,0;Seguradora;Grande;Individual
2021;6246;2021Q4;153977518,8;167819828,0;17471,0;Seguradora;Grande;Individual
2018;701;2018Q1;7699305,26;7191737,05;3497,0;Seguradora;Grande;Individual
2018;701;2018Q2;7055629,6;8276836,39;3332,0;Seguradora;Grande;Individual
2018;701;2018Q3;6762407,52;6849320,55;3121,0;Seguradora;Grande;Individual
2018;701;2018Q4;6964469,32;5483298,9;2803,0;Seguradora;Grande;Individual
2019;701;2019Q1;6625778,0;7615480,08;2639,0;Seguradora;Grande;Individual
2019;701;2019Q2;6387249,46;5228432,05;2530,0;Seguradora;Grande;Individual
2019;701;2019Q3;6138572,15;15956865,1;2387,0;Seguradora;Grande;Individual
2019;701;2019Q4;6163596,04;10900452,65;2231,0;Seguradora;Grande;Individual
2020;701;2020Q1;5858018,49;7390918,51;2145,0;Seguradora;Grande;Individual
2020;701;2020Q2;5591665,87;7513663,5;2081,0;Seguradora;Grande;Individual
2020;701;2020Q3;5398377,92;7825454,13;2025,0;Seguradora;Grande;Individual
2020;701;2020Q4;5630933,34;7173581,33;1972,0;Seguradora;Grande;Individual
2021;701;2021Q1;5155877,59;8862577,85;1905,0;Seguradora;Grande;Individual
2021;701;2021Q2;4841493,85;7156571,88;1847,0;Seguradora;Grande;Individual
2021;701;2021Q3;4758073,95;7231716,58;1791,0;Seguradora;Grande;Individual
2021;701;2021Q4;4323539,2;7177612,76;1746,0;Seguradora;Grande;Individual
