trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;290,89;249,84;55516;4;85,89
2018Q2;299,9;276,73;54124;4;92,27
2018Q3;294,29;289,04;52916;4;98,22
2018Q4;313,38;281,67;51446;4;89,88
2019Q1;311,32;279,26;50192;4;89,7
2019Q2;311,82;285,3;48960;4;91,5
2019Q3;318,6;322,37;47751;4;101,18
2019Q4;328,61;302,45;46539;4;92,04
2020Q1;324,87;297,82;45545;4;91,67
2020Q2;324,77;256,64;44704;4;79,02
2020Q3;323,89;284,86;43789;4;87,95
2020Q4;385,51;300,78;42955;4;78,02
2021Q1;331,66;306,23;41769;4;92,33
2021Q2;317,83;307,15;40613;4;96,64
2021Q3;305,3;323,52;39563;4;105,97
2021Q4;296,19;330,03;38730;4;111,43
