ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;300136;2018Q1;3149960,79;2309106,19;4597;Cooperativa Médica;Médio;Individual
2018;300136;2018Q2;3242208,47;2889676,61;4673;Cooperativa Médica;Médio;Individual
2018;300136;2018Q3;3389688,15;3241870,43;4678;Cooperativa Médica;Médio;Individual
2018;300136;2018Q4;3477998,68;1330390,9;4651;Cooperativa Médica;Médio;Individual
2018;300713;2018Q1;12420184,3;4135005,59;6416;Cooperativa Médica;Médio;Individual
2018;300713;2018Q2;7808327,88;4675021,85;6464;Cooperativa Médica;Médio;Individual
2018;300713;2018Q3;4168883,52;5370512,45;6482;Cooperativa Médica;Médio;Individual
2018;300713;2018Q4;8603636,03;2393226,83;6573;Cooperativa Médica;Médio;Individual
2018;301574;2018Q1;14155090,79;9827800,44;14099;Cooperativa Médica;Médio;Individual
2018;301574;2018Q2;14529733,59;11631241,84;14271;Cooperativa Médica;Médio;Individual
2018;301574;2018Q3;15102697,98;11259905,03;14317;Cooperativa Médica;Médio;Individual
2018;301574;2018Q4;15589383,43;10016644,29;14555;Cooperativa Médica;Médio;Individual
2018;301744;2018Q1;1969175,92;1158801,64;1279;Cooperativa Médica;Médio;Individual
2018;301744;2018Q2;1974843,53;1205130,33;1268;Cooperativa Médica;Médio;Individual
2018;301744;2018Q3;2000408,08;1186053,04;1259;Cooperativa Médica;Médio;Individual
2018;301744;2018Q4;2036031,34;1200410,64;1241;Cooperativa Médica;Médio;Individual
2018;302953;2018Q1;7211576,97;4205431,59;4593;Cooperativa Médica;Médio;Individual
2018;302953;2018Q2;7093556,94;5576855,78;4373;Cooperativa Médica;Médio;Individual
2018;302953;2018Q3;7306430,21;4990423,66;4237;Cooperativa Médica;Médio;Individual
2018;302953;2018Q4;7280747,22;1749028,22;4053;Cooperativa Médica;Médio;Individual
2018;303267;2018Q1;19350027,8;12683311,59;18343;Cooperativa Médica;Médio;Individual
2018;303267;2018Q2;19642785,38;15159544,04;18279;Cooperativa Médica;Médio;Individual
2018;303267;2018Q3;20212193,12;15907916,04;18247;Cooperativa Médica;Médio;Individual
2018;303267;2018Q4;20650637,46;13683505,24;18373;Cooperativa Médica;Médio;Individual
2018;303356;2018Q1;21302230,21;13759989,74;14767;Cooperativa Médica;Médio;Individual
2018;303356;2018Q2;21587019,63;15553474,46;14629;Cooperativa Médica;Médio;Individual
2018;303356;2018Q3;22214229,74;16197877,9;14594;Cooperativa Médica;Médio;Individual
2018;303356;2018Q4;22979870,23;17038031,49;14533;Cooperativa Médica;Médio;Individual
2018;304051;2018Q1;3540093,12;2692446,4;4366;Cooperativa Médica;Médio;Individual
2018;304051;2018Q2;3939660,38;2704009,35;4564;Cooperativa Médica;Médio;Individual
2018;304051;2018Q3;3990448,49;3037650,62;4744;Cooperativa Médica;Médio;Individual
2018;304051;2018Q4;3898453,45;4623,13;4914;Cooperativa Médica;Médio;Individual
2018;304344;2018Q1;3645606,85;2008462,2;4013;Cooperativa Médica;Médio;Individual
2018;304344;2018Q2;3749297,38;2510935,51;3952;Cooperativa Médica;Médio;Individual
2018;304344;2018Q3;3802526,32;2743846,14;3900;Cooperativa Médica;Médio;Individual
2018;304344;2018Q4;3868231,39;1459337,84;3835;Cooperativa Médica;Médio;Individual
2018;304468;2018Q1;6559817,1;4175996,47;6101;Cooperativa Médica;Médio;Individual
2018;304468;2018Q2;6795357,62;4184422,86;6175;Cooperativa Médica;Médio;Individual
2018;304468;2018Q3;7107462,84;4668657,61;6344;Cooperativa Médica;Médio;Individual
2018;304468;2018Q4;7444704,12;2827531,0;6373;Cooperativa Médica;Médio;Individual
2018;304883;2018Q1;7712141,76;4758529,97;6982;Cooperativa Médica;Médio;Individual
2018;304883;2018Q2;7857654,27;5292675,83;6948;Cooperativa Médica;Médio;Individual
2018;304883;2018Q3;8110003,82;5206076,36;6949;Cooperativa Médica;Médio;Individual
2018;304883;2018Q4;8338372,28;4991420,36;6975;Cooperativa Médica;Médio;Individual
2018;305227;2018Q1;8257502,58;4549122,14;8001;Cooperativa Médica;Médio;Individual
2018;305227;2018Q2;8294451,88;5994270,21;7974;Cooperativa Médica;Médio;Individual
2018;305227;2018Q3;8419090,31;5690949,65;8030;Cooperativa Médica;Médio;Individual
2018;305227;2018Q4;8826671,51;5376241,59;8025;Cooperativa Médica;Médio;Individual
2018;305472;2018Q1;2588490,74;1370324,27;2637;Cooperativa Médica;Médio;Individual
2018;305472;2018Q2;2688423,57;1094284,91;2737;Cooperativa Médica;Médio;Individual
2018;305472;2018Q3;2815647,83;1547604,74;2779;Cooperativa Médica;Médio;Individual
2018;305472;2018Q4;2920068,79;1452922,39;2896;Cooperativa Médica;Médio;Individual
2018;306100;2018Q1;9265420,83;5999442,85;10138;Cooperativa Médica;Médio;Individual
2018;306100;2018Q2;9733575,35;8384815,48;10176;Cooperativa Médica;Médio;Individual
2018;306100;2018Q3;10060504,52;8167732,0;10188;Cooperativa Médica;Médio;Individual
2018;306100;2018Q4;10356954,4;9568692,15;10221;Cooperativa Médica;Médio;Individual
2018;306126;2018Q1;9305767,73;4907418,26;8434;Cooperativa Médica;Médio;Individual
2018;306126;2018Q2;9479017,34;5334174,72;8381;Cooperativa Médica;Médio;Individual
2018;306126;2018Q3;9771632,28;5376709,57;8300;Cooperativa Médica;Médio;Individual
2018;306126;2018Q4;9967523,53;3797477,49;8223;Cooperativa Médica;Médio;Individual
2018;306762;2018Q1;9843911,52;5207361,49;7948;Cooperativa Médica;Médio;Individual
2018;306762;2018Q2;10090892,71;5979566,86;7992;Cooperativa Médica;Médio;Individual
2018;306762;2018Q3;10377811,12;5920848,05;8026;Cooperativa Médica;Médio;Individual
2018;306762;2018Q4;10210618,04;3275379,92;8140;Cooperativa Médica;Médio;Individual
2018;309087;2018Q1;7647604,04;4222436,31;8113;Cooperativa Médica;Médio;Individual
2018;309087;2018Q2;9273008,56;4947317,87;8033;Cooperativa Médica;Médio;Individual
2018;309087;2018Q3;6368502,72;4422228,74;8020;Cooperativa Médica;Médio;Individual
2018;309087;2018Q4;8131619,0;4336,24;7941;Cooperativa Médica;Médio;Individual
2018;311294;2018Q1;7227619,96;5205470,98;7023;Cooperativa Médica;Médio;Individual
2018;311294;2018Q2;7409854,99;5352441,43;7071;Cooperativa Médica;Médio;Individual
2018;311294;2018Q3;7634138,34;5644003,41;7076;Cooperativa Médica;Médio;Individual
