trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;1,31;0,88;1208643;113;67,18
2018Q2;1,35;0,95;1213278;113;70,37
2018Q3;1,38;0,97;1210956;113;70,29
2018Q4;1,47;0,72;1205235;113;48,98
2019Q1;1,44;0,95;1197319;113;65,97
2019Q2;1,46;1,09;1195791;113;74,66
2019Q3;1,49;1,11;1194013;113;74,5
2019Q4;1,56;1,08;1193662;113;69,23
2020Q1;1,56;1,03;1193937;113;66,03
2020Q2;1,58;0,87;1187082;113;55,06
2020Q3;1,59;1,01;1192837;113;63,52
2020Q4;1,66;1,1;1199926;113;66,27
2021Q1;1,71;1,09;1195428;113;63,74
2021Q2;1,73;1,21;1191595;113;69,94
2021Q3;1,68;1,26;1188048;113;75,0
2021Q4;1,65;1,34;1189063;113;81,21
