ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;318299;2018Q1;23890718,46;17904585,04;38023;Filantropia;Médio;Individual
2018;318299;2018Q2;24338193,05;19931925,32;37801;Filantropia;Médio;Individual
2018;318299;2018Q3;22536288,68;22152266,35;36971;Filantropia;Médio;Individual
2018;318299;2018Q4;23773526,62;21746371,48;36332;Filantropia;Médio;Individual
2018;322326;2018Q1;1251752,12;855048,62;2050;Filantropia;Médio;Individual
2018;322326;2018Q2;1477007,82;830592,62;2019;Filantropia;Médio;Individual
2018;322326;2018Q3;1397944,21;623024,65;1972;Filantropia;Médio;Individual
2018;322326;2018Q4;1393364,22;717130,04;1916;Filantropia;Médio;Individual
2018;336831;2018Q1;10576283,23;9008875,1;14001;Filantropia;Médio;Individual
2018;336831;2018Q2;10646283,9;10178420,99;13568;Filantropia;Médio;Individual
2018;336831;2018Q3;10954994,59;10613442,16;13739;Filantropia;Médio;Individual
2018;336831;2018Q4;11300971,35;10424864,17;13870;Filantropia;Médio;Individual
2018;342807;2018Q1;25289706,07;13742814,73;20678;Filantropia;Médio;Individual
2018;342807;2018Q2;25562806,0;13462363,66;20557;Filantropia;Médio;Individual
2018;342807;2018Q3;26254072,01;14146374,66;20295;Filantropia;Médio;Individual
2018;342807;2018Q4;26816302,08;14150979,36;20192;Filantropia;Médio;Individual
2018;345091;2018Q1;2162470,0;1308011,76;2939;Filantropia;Médio;Individual
2018;345091;2018Q2;2519733,58;1173525,39;2873;Filantropia;Médio;Individual
2018;345091;2018Q3;2606562,8;1480277,85;2878;Filantropia;Médio;Individual
2018;345091;2018Q4;2642503,18;1792667,49;2848;Filantropia;Médio;Individual
2018;347655;2018Q1;5087672,48;2642767,45;5283;Filantropia;Médio;Individual
2018;347655;2018Q2;5212218,93;3042496,02;5281;Filantropia;Médio;Individual
2018;347655;2018Q3;5336186,38;3121127,91;5263;Filantropia;Médio;Individual
2018;347655;2018Q4;5462054,75;2996464,77;5225;Filantropia;Médio;Individual
2018;354562;2018Q1;7920819,45;6193510,08;6137;Filantropia;Médio;Individual
2018;354562;2018Q2;7902414,7;6288911,12;5996;Filantropia;Médio;Individual
2018;354562;2018Q3;8174481,26;6532992,9;5861;Filantropia;Médio;Individual
2018;354562;2018Q4;8385543,31;5983079,44;5756;Filantropia;Médio;Individual
2018;410292;2018Q1;13899678,53;4072547,25;8341;Filantropia;Médio;Individual
2018;410292;2018Q2;15242975,15;4725239,82;8419;Filantropia;Médio;Individual
2018;410292;2018Q3;15285238,26;4989144,71;8510;Filantropia;Médio;Individual
2018;410292;2018Q4;15697685,59;4595370,99;8549;Filantropia;Médio;Individual
2019;318299;2019Q1;25273475,99;19598633,56;35938;Filantropia;Médio;Individual
2019;318299;2019Q2;25601426,88;20554611,83;35810;Filantropia;Médio;Individual
2019;318299;2019Q3;26164786,2;22876378,63;35809;Filantropia;Médio;Individual
2019;318299;2019Q4;26506605,17;23027119,39;35879;Filantropia;Médio;Individual
2019;322326;2019Q1;1373958,51;841956,57;1838;Filantropia;Médio;Individual
2019;322326;2019Q2;1379135,01;899141,27;1790;Filantropia;Médio;Individual
2019;322326;2019Q3;1338398,04;665174,92;1697;Filantropia;Médio;Individual
2019;322326;2019Q4;1325500,5;950509,27;1629;Filantropia;Médio;Individual
2019;336831;2019Q1;11400369,99;9588601,52;14092;Filantropia;Médio;Individual
2019;336831;2019Q2;11621265,14;11086025,71;14246;Filantropia;Médio;Individual
2019;336831;2019Q3;11870791,96;11494163,74;14284;Filantropia;Médio;Individual
2019;336831;2019Q4;12278634,97;10870776,58;13966;Filantropia;Médio;Individual
2019;342807;2019Q1;26796580,36;14441822,0;20087;Filantropia;Médio;Individual
2019;342807;2019Q2;26971890,05;16348748,68;20161;Filantropia;Médio;Individual
2019;342807;2019Q3;27245140,51;16031976,81;20097;Filantropia;Médio;Individual
2019;342807;2019Q4;28578333,74;14494738,43;20073;Filantropia;Médio;Individual
2019;345091;2019Q1;2694573,1;1683911,45;2828;Filantropia;Médio;Individual
2019;345091;2019Q2;1964954,33;1188721,43;2814;Filantropia;Médio;Individual
2019;345091;2019Q3;2809670,67;1316596,12;2777;Filantropia;Médio;Individual
2019;345091;2019Q4;2884293,08;1516124,68;2753;Filantropia;Médio;Individual
2019;347655;2019Q1;5494930,87;3023192,87;5173;Filantropia;Médio;Individual
2019;347655;2019Q2;5535350,82;3706528,57;5107;Filantropia;Médio;Individual
2019;347655;2019Q3;5572555,8;4327127,55;5105;Filantropia;Médio;Individual
2019;347655;2019Q4;5722146,56;3314956,94;5037;Filantropia;Médio;Individual
2019;354562;2019Q1;8390070,29;6693125,19;5647;Filantropia;Médio;Individual
2019;354562;2019Q2;8512180,17;6368660,05;5582;Filantropia;Médio;Individual
2019;354562;2019Q3;8647932,53;7205877,69;5488;Filantropia;Médio;Individual
2019;354562;2019Q4;9004134,98;6660640,01;5451;Filantropia;Médio;Individual
2019;410292;2019Q1;16986783,6;5004497,93;8770;Filantropia;Médio;Individual
2019;410292;2019Q2;17283851,99;5638892,32;8761;Filantropia;Médio;Individual
2019;410292;2019Q3;17455862,84;5311393,71;8905;Filantropia;Médio;Individual
2019;410292;2019Q4;16946128,69;5177822,52;8942;Filantropia;Médio;Individual
2020;318299;2020Q1;26750820,9;19619953,49;35859;Filantropia;Médio;Individual
2020;318299;2020Q2;26772538,26;14843082,74;35284;Filantropia;Médio;Individual
2020;318299;2020Q3;27073919,16;18820636,25;35793;Filantropia;Médio;Individual
2020;318299;2020Q4;28174210,48;20067457,29;36189;Filantropia;Médio;Individual
2020;322326;2020Q1;1291840,95;696054,32;1553;Filantropia;Médio;Individual
2020;322326;2020Q2;1266507,83;508362,37;1501;Filantropia;Médio;Individual
2020;322326;2020Q3;1260155,94;612649,42;1473;Filantropia;Médio;Individual
2020;322326;2020Q4;1164494,14;724240,09;1447;Filantropia;Médio;Individual
2020;336831;2020Q1;12067876,22;10579067,62;13773;Filantropia;Médio;Individual
2020;336831;2020Q2;11986109,22;9193497,47;13555;Filantropia;Médio;Individual
2020;336831;2020Q3;11953395,24;9928233,08;13242;Filantropia;Médio;Individual
2020;336831;2020Q4;11959981,91;11409090,65;12990;Filantropia;Médio;Individual
2020;342807;2020Q1;28371390,47;12865076,66;19975;Filantropia;Médio;Individual
2020;342807;2020Q2;28499502,15;7956901,1;19970;Filantropia;Médio;Individual
2020;342807;2020Q3;28637137,36;12665562,57;19986;Filantropia;Médio;Individual
2020;342807;2020Q4;30821682,32;14126426,13;20119;Filantropia;Médio;Individual
2020;345091;2020Q1;2765817,36;1451786,06;2739;Filantropia;Médio;Individual
2020;345091;2020Q2;2995332,91;605963,32;2732;Filantropia;Médio;Individual
2020;345091;2020Q3;3028450,51;1194068,04;2727;Filantropia;Médio;Individual
2020;345091;2020Q4;3570054,79;1383608,11;2723;Filantropia;Médio;Individual
2020;347655;2020Q1;5650237,87;3170708,75;4966;Filantropia;Médio;Individual
2020;347655;2020Q2;5680778,89;2483051,84;4948;Filantropia;Médio;Individual
2020;347655;2020Q3;5714995,87;3079941,37;4895;Filantropia;Médio;Individual
2020;347655;2020Q4;5696762,52;3103982,63;4856;Filantropia;Médio;Individual
