trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;124,6;80,58;144992;10;64,67
2018Q2;127,95;85,7;143952;10;66,98
2018Q3;128,57;91,13;143048;10;70,88
2018Q4;132,33;89,3;142272;10;67,48
2019Q1;141,76;91,54;141854;10;64,57
2019Q2;142,65;99,43;141779;10;69,7
2019Q3;145,59;103,18;141708;10;70,87
2019Q4;148,81;99,1;140965;10;66,59
2020Q1;141,8;91,02;140802;10;64,19
2020Q2;142,24;67,49;139530;10;47,45
2020Q3;142,96;88,19;139151;10;61,69
2020Q4;149,94;98,48;139106;10;65,68
2021Q1;149,89;91,53;137890;10;61,06
2021Q2;153,53;103,8;136678;10;67,61
2021Q3;146,33;110,73;135478;10;75,67
2021Q4;144,89;112,94;135120;10;77,95
