ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;301728;2018Q1;50926,86;19552,32;62,0;Medicina de Grupo;Médio;Individual
2018;301728;2018Q2;11064,77;18742,63;61,0;Medicina de Grupo;Médio;Individual
2018;301728;2018Q3;31565,79;13421,6;61,0;Medicina de Grupo;Médio;Individual
2018;301728;2018Q4;31871,35;26065,8;61,0;Medicina de Grupo;Médio;Individual
2018;303739;2018Q1;4735046,7;3644344,81;6166,0;Medicina de Grupo;Médio;Individual
2018;303739;2018Q2;4940658,55;3070079,69;6154,0;Medicina de Grupo;Médio;Individual
2018;303739;2018Q3;5084286,78;3216085,43;6105,0;Medicina de Grupo;Médio;Individual
2018;303739;2018Q4;5119704,9;2895874,92;6050,0;Medicina de Grupo;Médio;Individual
2018;311359;2018Q1;7874170,24;6192758,83;11503,0;Medicina de Grupo;Médio;Individual
2018;311359;2018Q2;8071997,8;7370499,96;11580,0;Medicina de Grupo;Médio;Individual
2018;311359;2018Q3;8369928,08;7150420,99;11712,0;Medicina de Grupo;Médio;Individual
2018;311359;2018Q4;8628165,84;6221902,27;11753,0;Medicina de Grupo;Médio;Individual
2018;315265;2018Q1;5210232,36;3851880,77;6879,0;Medicina de Grupo;Médio;Individual
2018;315265;2018Q2;5193104,34;4487932,29;6688,0;Medicina de Grupo;Médio;Individual
2018;315265;2018Q3;5262903,42;4202426,83;6472,0;Medicina de Grupo;Médio;Individual
2018;315265;2018Q4;5227114,92;3692812,64;6247,0;Medicina de Grupo;Médio;Individual
2018;320510;2018Q1;5327981,83;5263532,56;4732,0;Medicina de Grupo;Médio;Individual
2018;320510;2018Q2;5322017,01;4947095,68;4667,0;Medicina de Grupo;Médio;Individual
2018;320510;2018Q3;5442233,29;4452632,98;4568,0;Medicina de Grupo;Médio;Individual
2018;320510;2018Q4;5543546,52;3951420,91;4499,0;Medicina de Grupo;Médio;Individual
2018;325236;2018Q1;4575562,26;2540211,87;8985,0;Medicina de Grupo;Médio;Individual
2018;325236;2018Q2;4864292,84;2974271,96;9010,0;Medicina de Grupo;Médio;Individual
2018;325236;2018Q3;4926735,66;3382711,28;8898,0;Medicina de Grupo;Médio;Individual
2018;325236;2018Q4;4998801,16;2996242,26;8910,0;Medicina de Grupo;Médio;Individual
2018;326500;2018Q1;30753904,43;17024503,4;25743,0;Medicina de Grupo;Médio;Individual
2018;326500;2018Q2;29733344,19;17592404,62;25576,0;Medicina de Grupo;Médio;Individual
2018;326500;2018Q3;30768725,51;18672381,41;25214,0;Medicina de Grupo;Médio;Individual
2018;326500;2018Q4;31117766,97;17089277,9;24758,0;Medicina de Grupo;Médio;Individual
2018;327417;2018Q1;20337070,9;13823062,22;26787,0;Medicina de Grupo;Médio;Individual
2018;327417;2018Q2;20662068,1;16459287,97;26864,0;Medicina de Grupo;Médio;Individual
2018;327417;2018Q3;21631916,13;16230847,92;26965,0;Medicina de Grupo;Médio;Individual
2018;327417;2018Q4;22017756,15;15372375,38;27096,0;Medicina de Grupo;Médio;Individual
2018;328537;2018Q1;18674581,47;11638033,23;29637,0;Medicina de Grupo;Médio;Individual
2018;328537;2018Q2;18883817,95;15445309,56;29535,0;Medicina de Grupo;Médio;Individual
2018;328537;2018Q3;19803902,32;15430039,91;28729,0;Medicina de Grupo;Médio;Individual
2018;328537;2018Q4;19375064,18;15699119,4;27812,0;Medicina de Grupo;Médio;Individual
2018;335614;2018Q1;41647564,82;17947538,89;20947,0;Medicina de Grupo;Médio;Individual
2018;335614;2018Q2;45828376,66;20841802,07;22990,0;Medicina de Grupo;Médio;Individual
2018;335614;2018Q3;50440000,33;24169425,73;24487,0;Medicina de Grupo;Médio;Individual
2018;335614;2018Q4;56103498,24;24025853,87;26718,0;Medicina de Grupo;Médio;Individual
2018;343463;2018Q1;11347441,98;4140964,27;15383,0;Medicina de Grupo;Médio;Individual
2018;343463;2018Q2;11991410,3;4278659,88;15602,0;Medicina de Grupo;Médio;Individual
2018;343463;2018Q3;12455946,34;4642766,53;15348,0;Medicina de Grupo;Médio;Individual
2018;343463;2018Q4;13749170,05;5505026,21;15094,0;Medicina de Grupo;Médio;Individual
2018;344362;2018Q1;29285773,34;20057000,84;40995,0;Medicina de Grupo;Médio;Individual
2018;344362;2018Q2;29844780,49;21776883,95;40734,0;Medicina de Grupo;Médio;Individual
2018;344362;2018Q3;30747948,5;20493010,93;40871,0;Medicina de Grupo;Médio;Individual
2018;344362;2018Q4;31531793,05;19959194,94;40731,0;Medicina de Grupo;Médio;Individual
2018;344800;2018Q1;4618104,79;3066432,1;3584,0;Medicina de Grupo;Médio;Individual
2018;344800;2018Q2;4866647,65;3390727,09;3665,0;Medicina de Grupo;Médio;Individual
2018;344800;2018Q3;5171214,69;3498384,38;3498,0;Medicina de Grupo;Médio;Individual
2018;344800;2018Q4;5359644,74;3245170,61;3513,0;Medicina de Grupo;Médio;Individual
2018;346870;2018Q1;663310,29;870578,92;1171,0;Medicina de Grupo;Médio;Individual
2018;346870;2018Q2;692167,6;489911,02;1171,0;Medicina de Grupo;Médio;Individual
2018;346870;2018Q3;689618,31;426833,21;1157,0;Medicina de Grupo;Médio;Individual
2018;346870;2018Q4;703915,7;483972,87;1163,0;Medicina de Grupo;Médio;Individual
2018;352586;2018Q1;1435494,11;73218,0;992,0;Medicina de Grupo;Médio;Individual
2018;352586;2018Q2;1423888,6;8480,0;972,0;Medicina de Grupo;Médio;Individual
2018;352586;2018Q3;1460273,34;70722,5;960,0;Medicina de Grupo;Médio;Individual
2018;352586;2018Q4;1473688,0;19875,0;938,0;Medicina de Grupo;Médio;Individual
2018;360244;2018Q1;31074748,31;22050146,47;21860,0;Medicina de Grupo;Médio;Individual
2018;360244;2018Q2;31665942,0;20579821,93;23279,0;Medicina de Grupo;Médio;Individual
2018;360244;2018Q3;33294497,1;23676994,32;24147,0;Medicina de Grupo;Médio;Individual
2018;360244;2018Q4;34587672,06;23517964,16;25113,0;Medicina de Grupo;Médio;Individual
2018;363766;2018Q1;12186708,99;9550056,8;11436,0;Medicina de Grupo;Médio;Individual
2018;363766;2018Q2;11995620,96;8697461,01;11097,0;Medicina de Grupo;Médio;Individual
2018;363766;2018Q3;12137721,01;10057116,88;10685,0;Medicina de Grupo;Médio;Individual
2018;363766;2018Q4;12008228,63;9560056,01;10349,0;Medicina de Grupo;Médio;Individual
2018;366561;2018Q1;40952572,72;34130515,99;41329,0;Medicina de Grupo;Médio;Individual
2018;366561;2018Q2;41670661,6;34970683,69;41000,0;Medicina de Grupo;Médio;Individual
2018;366561;2018Q3;42928530,14;36972317,58;40606,0;Medicina de Grupo;Médio;Individual
2018;366561;2018Q4;43676040,66;35652127,42;40296,0;Medicina de Grupo;Médio;Individual
2018;369373;2018Q1;6237775,42;5898484,88;6944,0;Medicina de Grupo;Médio;Individual
2018;369373;2018Q2;7508082,37;5227972,45;6748,0;Medicina de Grupo;Médio;Individual
2018;369373;2018Q3;7581280,04;6193681,94;6508,0;Medicina de Grupo;Médio;Individual
2018;369373;2018Q4;7617514,16;6598341,01;6419,0;Medicina de Grupo;Médio;Individual
2018;372609;2018Q1;11281297,23;6895874,96;13966,0;Medicina de Grupo;Médio;Individual
2018;372609;2018Q2;11313828,58;7065711,4;14044,0;Medicina de Grupo;Médio;Individual
2018;372609;2018Q3;11754035,05;7970763,88;14045,0;Medicina de Grupo;Médio;Individual
2018;372609;2018Q4;12175979,37;7979576,91;14333,0;Medicina de Grupo;Médio;Individual
2018;385255;2018Q1;9199045,75;7069012,76;10998,0;Medicina de Grupo;Médio;Individual
2018;385255;2018Q2;9637317,01;7204994,11;11706,0;Medicina de Grupo;Médio;Individual
2018;385255;2018Q3;10229790,8;7375144,57;12651,0;Medicina de Grupo;Médio;Individual
2018;385255;2018Q4;11689218,15;7592564,38;13800,0;Medicina de Grupo;Médio;Individual
2018;392391;2018Q1;448894,59;369515,26;674,0;Medicina de Grupo;Médio;Individual
2018;392391;2018Q2;441711,92;399126,31;657,0;Medicina de Grupo;Médio;Individual
2018;392391;2018Q3;477841,99;335563,56;753,0;Medicina de Grupo;Médio;Individual
2018;392391;2018Q4;537968,53;361983,14;848,0;Medicina de Grupo;Médio;Individual
2018;394734;2018Q1;16186651,51;11841189,83;26762,0;Medicina de Grupo;Médio;Individual
2018;394734;2018Q2;15966821,03;11876938,15;26187,0;Medicina de Grupo;Médio;Individual
2018;394734;2018Q3;16214223,92;12869652,68;25394,0;Medicina de Grupo;Médio;Individual
2018;394734;2018Q4;21869783,41;13488126,06;24331,0;Medicina de Grupo;Médio;Individual
2018;395480;2018Q1;13977466,25;10862060,17;29312,0;Medicina de Grupo;Médio;Individual
2018;395480;2018Q2;13809439,64;10492940,81;28550,0;Medicina de Grupo;Médio;Individual
2018;395480;2018Q3;12540938,14;13989545,02;29248,0;Medicina de Grupo;Médio;Individual
2018;395480;2018Q4;14055741,82;12851312,18;29954,0;Medicina de Grupo;Médio;Individual
2018;400190;2018Q1;9326593,56;4375436,76;10207,0;Medicina de Grupo;Médio;Individual
2018;400190;2018Q2;9313970,27;5140335,83;9793,0;Medicina de Grupo;Médio;Individual
2018;400190;2018Q3;9390640,37;4936158,12;9500,0;Medicina de Grupo;Médio;Individual
2018;400190;2018Q4;9423848,24;5134696,31;9186,0;Medicina de Grupo;Médio;Individual
2018;401081;2018Q1;7029608,53;2858849,84;11715,0;Medicina de Grupo;Médio;Individual
2018;401081;2018Q2;7371997,35;3333818,28;11808,0;Medicina de Grupo;Médio;Individual
2018;401081;2018Q3;7683647,69;3113063,43;12031,0;Medicina de Grupo;Médio;Individual
2018;401081;2018Q4;8089376,79;3643105,59;12436,0;Medicina de Grupo;Médio;Individual
2018;411752;2018Q1;37753782,87;0,0;38037,0;Medicina de Grupo;Médio;Individual
