trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;631,89;405,45;744545,0;49;64,16
2018Q2;645,49;434,31;749690,0;49;67,28
2018Q3;673,47;466,88;752605,0;49;69,32
2018Q4;708,64;472,94;757134,0;49;66,74
2019Q1;728,54;502,91;756456,0;51;69,03
2019Q2;750,39;534,05;770532,0;51;71,17
2019Q3;764,03;561,23;803314,0;51;73,46
2019Q4;811,78;571,79;811121,0;51;70,44
2020Q1;854,2;580,55;816034,0;54;67,96
2020Q2;856,95;501,86;820561,0;54;58,56
2020Q3;882,83;554,74;836355,0;54;62,84
2020Q4;913,59;616,67;860254,0;54;67,5
2021Q1;1003,05;658,57;862361,0;55;65,66
2021Q2;1024,96;722,89;864569,0;55;70,53
2021Q3;1025,09;747,29;866925,0;55;72,9
2021Q4;1058,42;730,74;882236,0;55;69,04
