ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;301060;2018Q1;4456060,09;2923465,6;4813,0;Cooperativa Médica;Pequeno;Individual
2018;301060;2018Q2;4643929,96;3115605,0;4969,0;Cooperativa Médica;Pequeno;Individual
2018;301060;2018Q3;4907840,32;3175569,58;4986,0;Cooperativa Médica;Pequeno;Individual
2018;301060;2018Q4;5068527,25;895778,41;5067,0;Cooperativa Médica;Pequeno;Individual
2018;301124;2018Q1;1471730,52;1126978,92;1233,0;Cooperativa Médica;Pequeno;Individual
2018;301124;2018Q2;1491007,62;623350,41;1186,0;Cooperativa Médica;Pequeno;Individual
2018;301124;2018Q3;1501016,69;1666212,51;1148,0;Cooperativa Médica;Pequeno;Individual
2018;301124;2018Q4;1511324,6;938491,57;1110,0;Cooperativa Médica;Pequeno;Individual
2018;303178;2018Q1;7021992,22;6193389,7;7431,0;Cooperativa Médica;Pequeno;Individual
2018;303178;2018Q2;7146441,2;6600097,85;7324,0;Cooperativa Médica;Pequeno;Individual
2018;303178;2018Q3;8823725,51;3248873,33;7288,0;Cooperativa Médica;Pequeno;Individual
2018;303178;2018Q4;8979545,92;3536150,38;7216,0;Cooperativa Médica;Pequeno;Individual
2018;303844;2018Q1;4558039,52;2559216,29;5571,0;Cooperativa Médica;Pequeno;Individual
2018;303844;2018Q2;4609145,54;2574001,56;5583,0;Cooperativa Médica;Pequeno;Individual
2018;303844;2018Q3;4694872,62;2561684,94;5496,0;Cooperativa Médica;Pequeno;Individual
2018;303844;2018Q4;4726147,9;3180820,95;5482,0;Cooperativa Médica;Pequeno;Individual
2018;304123;2018Q1;2638355,37;1205286,76;2121,0;Cooperativa Médica;Pequeno;Individual
2018;304123;2018Q2;2704237,01;1642590,44;2119,0;Cooperativa Médica;Pequeno;Individual
2018;304123;2018Q3;2763680,56;2044960,79;2084,0;Cooperativa Médica;Pequeno;Individual
2018;304123;2018Q4;2845055,04;715932,15;2158,0;Cooperativa Médica;Pequeno;Individual
2018;304395;2018Q1;5222283,01;2848791,59;4569,0;Cooperativa Médica;Pequeno;Individual
2018;304395;2018Q2;5319654,23;2978799,77;4557,0;Cooperativa Médica;Pequeno;Individual
2018;304395;2018Q3;5414500,52;3741803,1;4450,0;Cooperativa Médica;Pequeno;Individual
2018;304395;2018Q4;5394266,26;801474,17;4372,0;Cooperativa Médica;Pequeno;Individual
2018;308811;2018Q1;388722,17;278621,81;212,0;Cooperativa Médica;Pequeno;Individual
2018;308811;2018Q2;395447,6;331702,65;213,0;Cooperativa Médica;Pequeno;Individual
2018;308811;2018Q3;409817,52;299219,47;211,0;Cooperativa Médica;Pequeno;Individual
2018;308811;2018Q4;402953,81;341354,04;205,0;Cooperativa Médica;Pequeno;Individual
2018;309524;2018Q1;918220,56;233926,19;788,0;Cooperativa Médica;Pequeno;Individual
2018;309524;2018Q2;996377,88;217596,64;792,0;Cooperativa Médica;Pequeno;Individual
2018;309524;2018Q3;1000703,09;225482,13;799,0;Cooperativa Médica;Pequeno;Individual
2018;309524;2018Q4;1066545,9;221027,31;801,0;Cooperativa Médica;Pequeno;Individual
2018;311146;2018Q1;4896365,45;1256541,85;4405,0;Cooperativa Médica;Pequeno;Individual
2018;311146;2018Q2;4874886,12;1119771,96;4374,0;Cooperativa Médica;Pequeno;Individual
2018;311146;2018Q3;5096921,64;1475964,13;4358,0;Cooperativa Médica;Pequeno;Individual
2018;311146;2018Q4;5001693,53;1272897,2;4258,0;Cooperativa Médica;Pequeno;Individual
2018;311944;2018Q1;2941424,17;564206,58;2704,0;Cooperativa Médica;Pequeno;Individual
2018;311944;2018Q2;2996312,08;677846,18;2717,0;Cooperativa Médica;Pequeno;Individual
2018;311944;2018Q3;3072024,98;1442090,51;2698,0;Cooperativa Médica;Pequeno;Individual
2018;311944;2018Q4;3164728,88;561074,81;2721,0;Cooperativa Médica;Pequeno;Individual
2018;312592;2018Q1;9296787,61;5896053,07;7834,0;Cooperativa Médica;Pequeno;Individual
2018;312592;2018Q2;9579255,39;7648131,0;7938,0;Cooperativa Médica;Pequeno;Individual
2018;312592;2018Q3;9750357,16;8593716,19;7946,0;Cooperativa Médica;Pequeno;Individual
2018;312592;2018Q4;10257535,93;4308668,44;7999,0;Cooperativa Médica;Pequeno;Individual
2018;313084;2018Q1;2578976,16;2456268,16;2597,0;Cooperativa Médica;Pequeno;Individual
2018;313084;2018Q2;2620792,84;2180694,3;2578,0;Cooperativa Médica;Pequeno;Individual
2018;313084;2018Q3;2698017,61;1969019,49;2558,0;Cooperativa Médica;Pequeno;Individual
2018;313084;2018Q4;2746194,54;2140965,75;2515,0;Cooperativa Médica;Pequeno;Individual
2018;313149;2018Q1;1774391,66;275572,79;2338,0;Cooperativa Médica;Pequeno;Individual
2018;313149;2018Q2;1822901,43;287456,12;2296,0;Cooperativa Médica;Pequeno;Individual
2018;313149;2018Q3;1879794,44;539235,29;2274,0;Cooperativa Médica;Pequeno;Individual
2018;313149;2018Q4;1771812,07;260910,03;2228,0;Cooperativa Médica;Pequeno;Individual
2018;313475;2018Q1;1188771,5;409639,54;866,0;Cooperativa Médica;Pequeno;Individual
2018;313475;2018Q2;1169073,09;556202,46;869,0;Cooperativa Médica;Pequeno;Individual
2018;313475;2018Q3;1249832,28;471910,24;846,0;Cooperativa Médica;Pequeno;Individual
2018;313475;2018Q4;1245024,29;448356,67;837,0;Cooperativa Médica;Pequeno;Individual
2018;313955;2018Q1;898409,0;1165344,15;833,0;Cooperativa Médica;Pequeno;Individual
2018;313955;2018Q2;958221,28;966629,91;824,0;Cooperativa Médica;Pequeno;Individual
2018;313955;2018Q3;918731,58;1033444,64;821,0;Cooperativa Médica;Pequeno;Individual
2018;313955;2018Q4;908978,79;1223181,32;830,0;Cooperativa Médica;Pequeno;Individual
2018;314242;2018Q1;1746355,21;1345932,93;2680,0;Cooperativa Médica;Pequeno;Individual
2018;314242;2018Q2;2225422,08;1742826,85;2737,0;Cooperativa Médica;Pequeno;Individual
2018;314242;2018Q3;2245185,9;2116283,85;2776,0;Cooperativa Médica;Pequeno;Individual
2018;314242;2018Q4;2335673,08;1753273,32;2814,0;Cooperativa Médica;Pequeno;Individual
2018;314587;2018Q1;2958158,28;2044775,8;2726,0;Cooperativa Médica;Pequeno;Individual
2018;314587;2018Q2;3040322,6;2019873,33;2688,0;Cooperativa Médica;Pequeno;Individual
2018;314587;2018Q3;3124375,74;1897495,17;2712,0;Cooperativa Médica;Pequeno;Individual
2018;314587;2018Q4;3148171,65;400328,4;2720,0;Cooperativa Médica;Pequeno;Individual
2018;314781;2018Q1;2373088,92;1532783,5;1804,0;Cooperativa Médica;Pequeno;Individual
2018;314781;2018Q2;2399921,25;1365973,17;1815,0;Cooperativa Médica;Pequeno;Individual
2018;314781;2018Q3;2458937,79;2051898,14;1799,0;Cooperativa Médica;Pequeno;Individual
