trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;413,42;261,91;369614,0;110;63,35
2018Q2;429,36;261,03;366605,0;110;60,8
2018Q3;402,19;274,26;349943,0;110;68,19
2018Q4;408,81;170,85;346839,0;110;41,79
2019Q1;414,54;240,43;345459,0;110;58,0
2019Q2;419,82;276,39;344577,0;110;65,84
2019Q3;414,19;281,46;342658,0;110;67,95
2019Q4;457,46;298,59;341382,0;110;65,27
2020Q1;440,05;275,56;340075,0;110;62,62
2020Q2;435,49;218,65;330522,0;110;50,21
2020Q3;431,72;250,06;329417,0;110;57,92
2020Q4;431,8;279,67;328356,0;110;64,77
2021Q1;442,77;280,03;324932,0;109;63,25
2021Q2;445,32;301,98;322827,0;109;67,81
2021Q3;438,34;333,44;319641,0;109;76,07
2021Q4;427,69;387,83;320146,0;109;90,68
