trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;42,61;21,26;56562,0;17;49,89
2018Q2;44,56;25,91;57066,0;17;58,15
2018Q3;46,76;25,59;57271,0;17;54,73
2018Q4;48,23;25,8;57086,0;17;53,49
2019Q1;50,3;27,66;56634,0;18;54,99
2019Q2;56,41;32,96;56767,0;18;58,43
2019Q3;54,11;33,26;56770,0;18;61,47
2019Q4;56,54;32,89;56575,0;18;58,17
2020Q1;56,11;31,39;56620,0;19;55,94
2020Q2;56,54;24,64;56459,0;19;43,58
2020Q3;57,52;29,8;57001,0;19;51,81
2020Q4;58,13;35,65;57126,0;19;61,33
2021Q1;60,78;35,84;56955,0;19;58,97
2021Q2;59,15;41,5;56879,0;19;70,16
2021Q3;61,51;41,26;56811,0;19;67,08
2021Q4;60,22;44,17;56501,0;19;73,35
