trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;326,26;211,36;409346,0;91;64,78
2018Q2;330,6;226,64;403421,0;91;68,55
2018Q3;342,13;243,21;400485,0;91;71,09
2018Q4;349,22;235,9;399529,0;91;67,55
2019Q1;371,64;240,11;398760,0;94;64,61
2019Q2;367,25;259,15;421105,0;94;70,57
2019Q3;376,16;262,9;432837,0;94;69,89
2019Q4;386,72;279,01;434459,0;94;72,15
2020Q1;413,48;244,78;426002,0;99;59,2
2020Q2;411,66;189,35;423170,0;99;46,0
2020Q3;412,74;218,72;431185,0;99;52,99
2020Q4;410,05;247,58;438495,0;99;60,38
2021Q1;433,66;228,53;455829,0;105;52,7
2021Q2;436,51;237,55;463850,0;105;54,42
2021Q3;436,97;270,02;465989,0;105;61,79
2021Q4;421,58;263,34;322961,0;105;62,47
