trimestre;receita;despesa;benef;n_ops;pct_despesa
2018Q1;428821,1;570211,29;77;1;132,97
2018Q2;440829,08;894496,04;76;1;202,91
2018Q3;456887,43;1024440,65;76;1;224,22
2018Q4;437697,78;887543,13;74;1;202,78
2019Q1;459254,58;536551,05;72;1;116,83
2019Q2;465900,59;554354,24;72;1;118,99
2019Q3;466029,41;476219,41;69;1;102,19
2019Q4;468808,23;782940,82;68;1;167,01
2020Q1;470786,48;541636,02;67;1;115,05
2020Q2;466307,11;255650,47;66;1;54,82
2020Q3;472693,76;479497,48;66;1;101,44
2020Q4;468803,06;26456443,45;66;1;5643,4
2021Q1;489740,57;6408902,09;64;1;1308,63
2021Q2;512590,7;7828274,48;63;1;1527,2
2021Q3;495429,07;7919663,05;62;1;1598,55
2021Q4;472883,47;7363137,44;62;1;1557,07
