ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;303976;2018Q1;29314392,256984733;23298026,97799187;27209;Cooperativa Médica;Grande;Adesao
2018;342084;2018Q1;100884002,78261003;71227129,01682207;50901;Cooperativa Médica;Grande;Adesao
2018;348295;2018Q2;4388045,61109696;4255788,456774965;6692;Cooperativa Médica;Grande;Adesao
2018;348295;2018Q3;4596013,001096959;4967336,8467749655;6736;Cooperativa Médica;Grande;Adesao
2018;348295;2018Q4;4842097,206709122;3878879,6696751034;7581;Cooperativa Médica;Grande;Adesao
2018;351202;2018Q1;24897326,09065514;16197283,210893944;17344;Cooperativa Médica;Grande;Adesao
2018;351202;2018Q2;25114287,883150246;18107498,270553;17281;Cooperativa Médica;Grande;Adesao
2018;351202;2018Q3;26288810,373044364;18374832,61800006;17738;Cooperativa Médica;Grande;Adesao
2018;355691;2018Q3;8825184,270512825;6568598,7368459115;9766;Cooperativa Médica;Grande;Adesao
2018;351202;2018Q4;27220437,76315025;15133373,340552997;17819;Cooperativa Médica;Grande;Adesao
2018;353353;2018Q2;5795302,944778388;3579831,900780675;15396;Cooperativa Médica;Grande;Adesao
2018;353353;2018Q3;6482573,2718948275;3842355,3168511316;17581;Cooperativa Médica;Grande;Adesao
2018;353353;2018Q4;6691629,778548393;3205775,9115875186;21335;Cooperativa Médica;Grande;Adesao
2018;354031;2018Q1;23833797,264497507;15648735,002252674;18208;Cooperativa Médica;Grande;Adesao
2018;354031;2018Q2;24326905,81055637;16672915,125207096;18190;Cooperativa Médica;Grande;Adesao
2018;354031;2018Q3;24930741,97864833;19346626,42820179;18311;Cooperativa Médica;Grande;Adesao
2018;348295;2018Q1;4058211,6610969594;4314679,0567749655;6667;Cooperativa Médica;Grande;Adesao
2018;355691;2018Q1;8547614,195123997;5888076,302815535;9276;Cooperativa Médica;Grande;Adesao
2018;355691;2018Q2;8721936,273850352;6255036,223492642;9230;Cooperativa Médica;Grande;Adesao
2018;344885;2018Q2;46726364,593053386;37564626,02031801;35313;Cooperativa Médica;Grande;Adesao
2018;342084;2018Q4;107338024,50249675;49093629,24393803;50702;Cooperativa Médica;Grande;Adesao
2018;343269;2018Q1;17848781,728005648;12399843,884145256;23796;Cooperativa Médica;Grande;Adesao
2018;343269;2018Q2;18251660,178005647;13622636,614145257;24061;Cooperativa Médica;Grande;Adesao
2018;343269;2018Q3;19052061,011115853;14603819,05981606;24146;Cooperativa Médica;Grande;Adesao
2018;343269;2018Q4;19771618,442872856;11826994,31189343;24506;Cooperativa Médica;Grande;Adesao
2018;343731;2018Q1;28753857,979531802;17359388,46831961;12762;Cooperativa Médica;Grande;Adesao
2018;343731;2018Q2;29341094,522128023;18387493,63346304;12581;Cooperativa Médica;Grande;Adesao
2018;343731;2018Q3;29743977,844170086;19614069,10910868;12315;Cooperativa Médica;Grande;Adesao
2018;343731;2018Q4;30310887,50417009;10835315,169108676;12106;Cooperativa Médica;Grande;Adesao
2018;343889;2018Q1;262877203,31704876;187771322,91354913;237981;Cooperativa Médica;Grande;Adesao
2018;343889;2018Q2;269908859,5247412;182071559,22853702;241921;Cooperativa Médica;Grande;Adesao
2018;343889;2018Q3;279239050,8011614;193317024,85436475;243797;Cooperativa Médica;Grande;Adesao
2018;343889;2018Q4;289361587,96704876;115097762,19354911;246253;Cooperativa Médica;Grande;Adesao
2018;344885;2018Q1;43443597,663053386;35415650,61031801;32789;Cooperativa Médica;Grande;Adesao
2018;344885;2018Q3;49746606,44129094;34231761,59115661;37904;Cooperativa Médica;Grande;Adesao
2018;344885;2018Q4;51585759,45260229;27120340,258207373;39301;Cooperativa Médica;Grande;Adesao
2018;355691;2018Q4;8978221,990512826;4915615,476845911;8839;Cooperativa Médica;Grande;Adesao
2018;342084;2018Q3;105696311,16239649;78734105,55530187;51437;Cooperativa Médica;Grande;Adesao
2018;371254;2018Q1;16142349,281973038;11661749,871083692;13345;Cooperativa Médica;Grande;Adesao
2018;371254;2018Q4;17432380,868119277;3808992,7941253744;13515;Cooperativa Médica;Grande;Adesao
2018;382876;2018Q4;55881281,67380875;36076254,00299171;43788;Cooperativa Médica;Grande;Adesao
2018;384577;2018Q1;1456294,5903758667;845837,3695235319;1945;Cooperativa Médica;Grande;Adesao
2018;384577;2018Q2;1962056,9639306786;1444763,241464975;2129;Cooperativa Médica;Grande;Adesao
2018;384577;2018Q3;2025953,5117823598;1528983,5878160917;2346;Cooperativa Médica;Grande;Adesao
2018;384577;2018Q4;2098392,183911095;1260071,7011954014;2558;Cooperativa Médica;Grande;Adesao
2018;304701;2018Q1;62572204,013444416;35871786,96762999;61189;Cooperativa Médica;Grande;Adesao
2018;382876;2018Q3;55855745,19380875;56803823,93299171;43685;Cooperativa Médica;Grande;Adesao
2018;304701;2018Q3;66078705,07933172;41367963,952772625;61222;Cooperativa Médica;Grande;Adesao
2018;304701;2018Q4;68349941,04945466;34474213,16560392;61449;Cooperativa Médica;Grande;Adesao
2018;393321;2018Q1;432003286,6545372;237720780,5890846;218785;Cooperativa Médica;Grande;Adesao
2018;393321;2018Q2;440955061,80633146;257598232,08459917;219244;Cooperativa Médica;Grande;Adesao
2018;393321;2018Q3;456212438,4497253;274143707,73076504;226489;Cooperativa Médica;Grande;Adesao
2018;393321;2018Q4;471893225,45940614;228459119,4555511;235644;Cooperativa Médica;Grande;Adesao
2018;304701;2018Q2;63868796,69776924;38871271,0839935;61001;Cooperativa Médica;Grande;Adesao
2018;382876;2018Q2;54675585,9212641;50271028,661189064;46230;Cooperativa Médica;Grande;Adesao
2018;382876;2018Q1;53582152,45111841;47312900,65282751;46056;Cooperativa Médica;Grande;Adesao
2018;357391;2018Q3;99586028,67239086;80167310,08593361;99739;Cooperativa Médica;Grande;Adesao
2018;371254;2018Q3;16851580,618119277;16048275,094125375;13302;Cooperativa Médica;Grande;Adesao
2018;355721;2018Q2;19553156,51097248;18896169,368036672;17896;Cooperativa Médica;Grande;Adesao
2018;355721;2018Q3;20182794,096917246;20061399,97355135;17639;Cooperativa Médica;Grande;Adesao
2018;355721;2018Q4;20896605,90963133;16340869,554799788;17093;Cooperativa Médica;Grande;Adesao
2018;357391;2018Q1;94773582,05282742;62844984,07219917;96666;Cooperativa Médica;Grande;Adesao
2018;357391;2018Q2;96236993,23239087;76359116,88593361;98268;Cooperativa Médica;Grande;Adesao
2018;357391;2018Q4;103600566,50239086;32717247,645933613;100035;Cooperativa Médica;Grande;Adesao
2018;342084;2018Q2;44098146,912496746;34726516,323938034;51150;Cooperativa Médica;Grande;Adesao
2018;360449;2018Q2;47605015,03974665;43765268,35524727;36856;Cooperativa Médica;Grande;Adesao
2018;360449;2018Q1;46652929,602094896;41066454,59262846;37321;Cooperativa Médica;Grande;Adesao
2018;360449;2018Q4;49183506,46407922;43692944,92106214;35977;Cooperativa Médica;Grande;Adesao
2018;369659;2018Q1;17547553,896222983;16881310,685081;14009;Cooperativa Médica;Grande;Adesao
2018;369659;2018Q2;17910421,710483845;17942742,767772723;13924;Cooperativa Médica;Grande;Adesao
2018;369659;2018Q3;18528892,440597456;19075849,69236964;13746;Cooperativa Médica;Grande;Adesao
2018;369659;2018Q4;19020792,49269571;14442172,424776632;13591;Cooperativa Médica;Grande;Adesao
2018;355721;2018Q1;13693300,632478941;14981140,523612186;18288;Cooperativa Médica;Grande;Adesao
2018;371254;2018Q2;16474866,22178841;12342977,780665562;13121;Cooperativa Médica;Grande;Adesao
2018;360449;2018Q3;48114613,40407923;45242959,02106214;35840;Cooperativa Médica;Grande;Adesao
2018;306886;2018Q2;19442454,733482122;10753680,639068564;17640;Cooperativa Médica;Grande;Adesao
