ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;314218;2018Q1;10293990,14;7472277,29;16462,0;Filantropia;Grande;Adesao
2018;314218;2018Q2;10764576,15;8968399,38;15845,0;Filantropia;Grande;Adesao
2018;314218;2018Q3;11059616,65;8656257,49;14843,0;Filantropia;Grande;Adesao
2018;314218;2018Q4;11099533,95;7891506,78;14325,0;Filantropia;Grande;Adesao
2019;314218;2019Q1;10711871,57;7836762,0;13773,0;Filantropia;Grande;Adesao
2019;314218;2019Q2;10380894,3;9049882,44;13141,0;Filantropia;Grande;Adesao
2019;314218;2019Q3;10527499,64;8304540,3;12488,0;Filantropia;Grande;Adesao
2019;314218;2019Q4;10081037,88;9208570,36;11897,0;Filantropia;Grande;Adesao
2020;314218;2020Q1;9449928,86;7060310,81;11091,0;Filantropia;Grande;Adesao
2020;314218;2020Q2;9428505,58;5394899,61;10255,0;Filantropia;Grande;Adesao
2020;314218;2020Q3;9081782,99;6249054,87;9427,0;Filantropia;Grande;Adesao
2020;314218;2020Q4;8931052,62;6566016,63;8882,0;Filantropia;Grande;Adesao
2021;314218;2021Q1;8174089,04;6541991,69;8054,0;Filantropia;Grande;Adesao
2021;314218;2021Q2;7625807,26;5666184,17;7107,0;Filantropia;Grande;Adesao
2021;314218;2021Q3;7124889,04;5772645,5;6274,0;Filantropia;Grande;Adesao
2021;314218;2021Q4;6584648,04;6274830,45;5819,0;Filantropia;Grande;Adesao
2018;339954;2018Q1;3986532,2;2753244,53;7858,0;Filantropia;Grande;Adesao
2018;339954;2018Q2;4113614,32;2799465,45;8113,0;Filantropia;Grande;Adesao
2018;339954;2018Q3;4620447,73;3185477,69;8237,0;Filantropia;Grande;Adesao
2018;339954;2018Q4;4860100,25;2768838,07;8220,0;Filantropia;Grande;Adesao
2019;339954;2019Q1;4846305,14;2911510,2;8225,0;Filantropia;Grande;Adesao
2019;339954;2019Q2;4872574,12;2910253,48;8369,0;Filantropia;Grande;Adesao
2019;339954;2019Q3;5277585,35;3060671,06;8452,0;Filantropia;Grande;Adesao
2019;339954;2019Q4;5453346,4;4163478,63;8471,0;Filantropia;Grande;Adesao
2020;339954;2020Q1;5435805,61;3095364,89;8438,0;Filantropia;Grande;Adesao
2020;339954;2020Q2;5670381,46;2599449,51;8525,0;Filantropia;Grande;Adesao
2020;339954;2020Q3;5787646,62;2945334,13;8640,0;Filantropia;Grande;Adesao
2020;339954;2020Q4;6448628,8;5206085,84;8630,0;Filantropia;Grande;Adesao
2021;339954;2021Q1;6927437,72;4887287,24;8778,0;Filantropia;Grande;Adesao
2021;339954;2021Q2;6629303,6;4269451,91;9147,0;Filantropia;Grande;Adesao
2021;339954;2021Q3;6961391,89;5169663,71;9514,0;Filantropia;Grande;Adesao
2021;339954;2021Q4;6771482,32;5196804,09;10018,0;Filantropia;Grande;Adesao
