ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;309222;2018Q1;704615,6808700622;713053,95991546;15538;Medicina de Grupo;Grande;Adesao
2018;359017;2018Q3;131130066,47032544;761279474,1983471;130021;Medicina de Grupo;Grande;Adesao
2018;411256;2018Q3;5124883,252954516;2309837,277161648;7177;Medicina de Grupo;Grande;Adesao
2018;411256;2018Q2;7261285,201136453;2558609,348515056;7361;Medicina de Grupo;Grande;Adesao
2018;411256;2018Q1;5165569,992954516;2750681,837161648;7466;Medicina de Grupo;Grande;Adesao
2018;403911;2018Q4;36897670,00894196;46747402,949686244;16062;Medicina de Grupo;Grande;Adesao
2018;403911;2018Q3;61786938,55867125;62190772,45395928;26105;Medicina de Grupo;Grande;Adesao
2018;403911;2018Q2;57631805,6647276;55069063,81392711;35193;Medicina de Grupo;Grande;Adesao
2018;403911;2018Q1;57174338,807659194;55920776,92242737;37793;Medicina de Grupo;Grande;Adesao
2018;368253;2018Q3;79440668,83618236;14547030,041609757;190790;Medicina de Grupo;Grande;Adesao
2018;368253;2018Q2;50230662,57612799;13317638,849016346;186997;Medicina de Grupo;Grande;Adesao
2018;368253;2018Q1;38372915,28612799;12586507,929016344;168510;Medicina de Grupo;Grande;Adesao
2018;359661;2018Q4;917006,4483951994;733719,6660525592;89;Medicina de Grupo;Grande;Adesao
2018;359661;2018Q3;924911,8961808183;928614,4210451466;100;Medicina de Grupo;Grande;Adesao
2018;359661;2018Q2;856134,5270287828;825694,706849735;102;Medicina de Grupo;Grande;Adesao
2018;359661;2018Q1;835728,7683951993;690271,4860525592;101;Medicina de Grupo;Grande;Adesao
2018;411256;2018Q4;5212433,0929545155;2944346,257161648;6992;Medicina de Grupo;Grande;Adesao
2018;417823;2018Q1;673896,2015397947;341279,28;2206;Medicina de Grupo;Grande;Adesao
2018;368253;2018Q4;79772244,21156166;13442985,060357552;199026;Medicina de Grupo;Grande;Adesao
2018;417823;2018Q3;979709,5853806159;373441,95;5431;Medicina de Grupo;Grande;Adesao
2018;349682;2018Q3;7301,673474555893;1017,8371790571463;106;Medicina de Grupo;Grande;Adesao
2018;359017;2018Q4;131780408,17883852;701105217,3551619;129916;Medicina de Grupo;Grande;Adesao
2018;349682;2018Q4;7339,25840067781;933,2331202035846;201;Medicina de Grupo;Grande;Adesao
2018;355097;2018Q1;3451893,4578023236;1110805,2639959543;5353;Medicina de Grupo;Grande;Adesao
2018;355097;2018Q2;3482929,3840824366;1093017,0734866336;5246;Medicina de Grupo;Grande;Adesao
2018;355097;2018Q3;3764826,085860813;1241755,3150100429;5116;Medicina de Grupo;Grande;Adesao
2018;355097;2018Q4;3784205,302254428;1147660,8575073695;4966;Medicina de Grupo;Grande;Adesao
2018;357511;2018Q3;5921641,311180787;5620729,846371721;5024;Medicina de Grupo;Grande;Adesao
2018;357511;2018Q1;5429434,039007731;5027992,411531078;5887;Medicina de Grupo;Grande;Adesao
2018;357511;2018Q2;5478250,005270101;4947475,249977495;5945;Medicina de Grupo;Grande;Adesao
2018;357511;2018Q4;5952122,604541384;5194817,012119706;5093;Medicina de Grupo;Grande;Adesao
2018;392804;2018Q2;11145832,51694125;9348323,632805292;20547;Medicina de Grupo;Grande;Adesao
2018;392804;2018Q3;12047939,071113512;10841335,141743219;20471;Medicina de Grupo;Grande;Adesao
2018;392804;2018Q4;12109955,114625605;9737418,374635939;20324;Medicina de Grupo;Grande;Adesao
2018;349682;2018Q2;6754,950299833377;896,148220086529;102;Medicina de Grupo;Grande;Adesao
2018;417823;2018Q4;723691,5615397948;410791,06;5616;Medicina de Grupo;Grande;Adesao
2018;392804;2018Q1;11046513,467319634;9501016,430815548;20772;Medicina de Grupo;Grande;Adesao
2018;350249;2018Q3;4073859,912144728;2960403,354572919;5488;Medicina de Grupo;Grande;Adesao
2018;417823;2018Q2;685097,1415397947;260274,78;5466;Medicina de Grupo;Grande;Adesao
2018;348520;2018Q2;9223191,708835565;7330737,426116826;14122;Medicina de Grupo;Grande;Adesao
2018;309222;2018Q2;710871,2146331947;701788,9712259583;18974;Medicina de Grupo;Grande;Adesao
2018;309222;2018Q3;744456,1172483715;691574,9094292909;21869;Medicina de Grupo;Grande;Adesao
2018;309222;2018Q4;759391,1272483715;802409,7794292909;24702;Medicina de Grupo;Grande;Adesao
2018;310247;2018Q1;5120214,347472235;11073679,364386309;21209;Medicina de Grupo;Grande;Adesao
2018;310247;2018Q2;5462105,837472235;13722694,594386306;21479;Medicina de Grupo;Grande;Adesao
2018;310247;2018Q4;6005723,017583298;13621985,46684108;22692;Medicina de Grupo;Grande;Adesao
2018;326305;2018Q1;444658065,23696893;371869935,46792805;264961;Medicina de Grupo;Grande;Adesao
2018;326305;2018Q3;480809608,9964954;405631853,9697628;243870;Medicina de Grupo;Grande;Adesao
2018;326305;2018Q4;463679609,3964954;406488326,7697629;239057;Medicina de Grupo;Grande;Adesao
2018;337510;2018Q1;3343525,0204424704;2702397,2329650056;7422;Medicina de Grupo;Grande;Adesao
2018;337510;2018Q2;3371231,1104424708;2644078,9229650055;7361;Medicina de Grupo;Grande;Adesao
2018;337510;2018Q3;3676862,6104424708;3094884,5929650054;8427;Medicina de Grupo;Grande;Adesao
2018;359017;2018Q2;115415944,42541802;758227509,6032455;130627;Medicina de Grupo;Grande;Adesao
2018;337510;2018Q4;3825593,188672588;2883987,0511049833;8983;Medicina de Grupo;Grande;Adesao
2018;349682;2018Q1;6694,757824932919;910,7014806527402;85;Medicina de Grupo;Grande;Adesao
2018;340782;2018Q1;3649543,889371352;2978317,0596536314;3503;Medicina de Grupo;Grande;Adesao
2018;340782;2018Q2;3681790,6609027996;2931637,483977983;3543;Medicina de Grupo;Grande;Adesao
2018;326305;2018Q2;448595971,77004015;365867815,59254634;260560;Medicina de Grupo;Grande;Adesao
2018;340782;2018Q4;3854953,5998629243;2916340,163184193;4437;Medicina de Grupo;Grande;Adesao
2018;350249;2018Q4;4241067,352144728;2641855,8445729185;5696;Medicina de Grupo;Grande;Adesao
