ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;318299;2018Q1;567675,26;437899,55;941;Filantropia;Médio;Adesao
2018;318299;2018Q2;536191,48;573685,63;880;Filantropia;Médio;Adesao
2018;318299;2018Q3;448859,6;523327,7;886;Filantropia;Médio;Adesao
2018;318299;2018Q4;528155,73;577684,05;870;Filantropia;Médio;Adesao
2018;336831;2018Q1;1234425,1;939060,76;1161;Filantropia;Médio;Adesao
2018;336831;2018Q2;1222386,13;1038366,99;1148;Filantropia;Médio;Adesao
2018;336831;2018Q3;1212317,62;1061168,71;1207;Filantropia;Médio;Adesao
2018;336831;2018Q4;1263798,23;1193071,75;1301;Filantropia;Médio;Adesao
2018;342807;2018Q1;2016967,63;1452882,43;2032;Filantropia;Médio;Adesao
2018;342807;2018Q2;2069258,19;1253710,55;2022;Filantropia;Médio;Adesao
2018;342807;2018Q3;2123265,33;1202139,12;2016;Filantropia;Médio;Adesao
2018;342807;2018Q4;2176964,87;1116994,24;2004;Filantropia;Médio;Adesao
2018;345091;2018Q1;401033,99;296868,67;972;Filantropia;Médio;Adesao
2018;345091;2018Q2;212848,69;123922,14;965;Filantropia;Médio;Adesao
2018;345091;2018Q3;216852,8;173417,71;968;Filantropia;Médio;Adesao
2018;345091;2018Q4;225547,86;142479,82;970;Filantropia;Médio;Adesao
2018;347655;2018Q1;2189767,58;1487864,15;2960;Filantropia;Médio;Adesao
2018;347655;2018Q2;2399768,36;2229395,85;3018;Filantropia;Médio;Adesao
2018;347655;2018Q3;2530425,99;1704119,94;3039;Filantropia;Médio;Adesao
2018;347655;2018Q4;2570122,65;1957400,48;3047;Filantropia;Médio;Adesao
2018;354562;2018Q1;956792,96;766389,49;1403;Filantropia;Médio;Adesao
2018;354562;2018Q2;973088,67;788295,62;1480;Filantropia;Médio;Adesao
2018;354562;2018Q3;1037326,34;832765,54;1456;Filantropia;Médio;Adesao
2018;354562;2018Q4;1015289,03;774817,73;1448;Filantropia;Médio;Adesao
2019;336831;2019Q1;1307941,57;832576,26;1309;Filantropia;Médio;Adesao
2019;336831;2019Q2;1341623,97;1005819,25;1433;Filantropia;Médio;Adesao
2019;336831;2019Q3;1390302,44;1219533,07;1453;Filantropia;Médio;Adesao
2019;336831;2019Q4;1433333,76;949759,45;1425;Filantropia;Médio;Adesao
2019;342807;2019Q1;2160274,05;1287498,04;1957;Filantropia;Médio;Adesao
2019;342807;2019Q2;2206019,92;1149137,52;1888;Filantropia;Médio;Adesao
2019;342807;2019Q3;2219554,24;1597252,33;1877;Filantropia;Médio;Adesao
2019;342807;2019Q4;2270834,79;1562961,99;1865;Filantropia;Médio;Adesao
2019;345091;2019Q1;232481,86;179855,35;984;Filantropia;Médio;Adesao
2019;345091;2019Q2;368601,09;107759,81;979;Filantropia;Médio;Adesao
2019;345091;2019Q3;237468,67;245089,42;971;Filantropia;Médio;Adesao
2019;345091;2019Q4;255089,25;190284,32;979;Filantropia;Médio;Adesao
2019;347655;2019Q1;2608422,43;1943047,36;3109;Filantropia;Médio;Adesao
