ano;cd_ops;trimestre;receita;despesa;benef
2018;301728;2018Q1;617817,45;292405,57;1132,0
2018;301728;2018Q2;612408,07;266148,78;1150,0
2018;301728;2018Q3;624169,92;282087,16;1145,0
2018;301728;2018Q4;653616,75;303199,43;1158,0
2018;303739;2018Q1;3403610,98;2911744,58;4673,0
2018;303739;2018Q2;3448805,53;2823367,54;4743,0
2018;303739;2018Q3;3606012,85;2646888,16;4763,0
2018;303739;2018Q4;3705299,04;2864143,82;4757,0
2018;311359;2018Q1;538014,41;319186,99;647,0
2018;311359;2018Q2;569321,59;341835,29;653,0
2018;311359;2018Q3;604012,08;556655,57;666,0
2018;311359;2018Q4;627422,04;553562,62;687,0
2018;315265;2018Q1;153729,44;73654,64;85,0
2018;315265;2018Q2;153479,89;133561,32;84,0
2018;315265;2018Q3;962643,52;58839,97;76,0
2018;315265;2018Q4;140506,18;57147,15;66,0
2018;320510;2018Q1;3962060,01;3881926,12;3041,0
2018;320510;2018Q2;4012485,54;3187524,19;3114,0
2018;320510;2018Q3;4167022,93;2573118,19;3077,0
2018;320510;2018Q4;4154620,58;2160079,52;3102,0
2018;326500;2018Q1;10570919,92;8370960,16;10171,0
2018;326500;2018Q2;10724482,6;9433308,89;10277,0
2018;326500;2018Q3;11324369,99;8979484,14;10822,0
2018;326500;2018Q4;11488973,77;8250157,35;11449,0
2018;327417;2018Q1;1330432,04;803417,81;1879,0
2018;327417;2018Q2;1626054,75;1012549,6;2300,0
2018;327417;2018Q3;1781522,36;1529564,44;2581,0
2018;327417;2018Q4;1934314,43;1444929,88;2717,0
2018;328537;2018Q1;1021259,46;799009,18;1716,0
2018;328537;2018Q2;1108053,39;932740,57;1732,0
2018;328537;2018Q3;1150332,2;922980,28;1758,0
2018;328537;2018Q4;1391825,27;955525,86;1744,0
2018;344362;2018Q1;3001741,69;2626464,46;4706,0
2018;344362;2018Q2;2968484,33;2989957,02;4668,0
2018;344362;2018Q3;3206121,76;2822131,65;4556,0
2018;344362;2018Q4;3221325,33;2726220,53;4538,0
2018;344800;2018Q1;11832905,53;0,0;5060,0
2018;344800;2018Q2;14223121,83;0,0;6179,0
2018;344800;2018Q3;15646459,48;0,0;6438,0
2018;344800;2018Q4;15816094,17;0,0;6330,0
2018;360244;2018Q1;7066350,38;5004059,68;9633,0
2018;360244;2018Q2;6731551,99;4908425,92;8563,0
2018;360244;2018Q3;6306903,66;4882435,19;7702,0
2018;360244;2018Q4;5902633,98;4896588,29;7265,0
2018;363766;2018Q1;10845222,86;6005123,27;9466,0
2018;363766;2018Q2;10491950,78;7024677,89;10116,0
2018;363766;2018Q3;11279764,86;7913549,76;10667,0
2018;363766;2018Q4;11047623,39;7902367,84;11364,0
2018;366561;2018Q1;3601040,56;3030867,92;4435,0
2018;366561;2018Q2;3351626,07;2840594,66;4471,0
2018;366561;2018Q3;3286538,11;3090467,25;4480,0
2018;366561;2018Q4;3302603,05;3273747,12;4457,0
2018;369373;2018Q1;3589,6;209,6;304,0
2018;369373;2018Q2;5314,8;6282,92;331,0
2018;369373;2018Q3;12604,53;36892,28;368,0
2018;369373;2018Q4;19118,02;76830,22;399,0
2018;372609;2018Q1;5450698,42;3214639,77;10182,0
2018;372609;2018Q2;5477614,96;3755318,84;10196,0
2018;372609;2018Q3;5692898,22;4236426,34;10081,0
2018;372609;2018Q4;5783089,32;4279461,94;10057,0
2018;385255;2018Q1;11143,37;8249,26;970,0
2018;385255;2018Q2;11249,4;8411,51;1194,0
2018;385255;2018Q3;12064,77;8613,08;1321,0
2018;385255;2018Q4;13795,14;8862,97;1436,0
2018;392391;2018Q1;9382301,78;6575854,55;12511,0
2018;392391;2018Q2;9831791,12;6975419,77;12680,0
2018;392391;2018Q3;10055185,81;7926755,16;12867,0
2018;392391;2018Q4;10100312,15;7919704,64;13034,0
2018;394734;2018Q1;2480928,55;1632273,88;8566,0
2018;394734;2018Q2;2652693,28;1901392,91;8082,0
2018;394734;2018Q3;2517068,25;1885686,9;8190,0
2018;394734;2018Q4;3350623,89;1913467,34;8407,0
2018;401081;2018Q1;4027421,23;2871969,06;9611,0
2018;401081;2018Q2;5248046,41;3353422,84;9922,0
2018;401081;2018Q3;5106884,8;2697540,27;10146,0
2018;401081;2018Q4;5231161,91;3344693,54;10041,0
2018;411752;2018Q1;140278,58;0,0;779,0
2018;411752;2018Q2;229144,66;0,0;790,0
2018;411752;2018Q3;228423,42;0,0;791,0
2018;411752;2018Q4;196088,76;0,0;747,0
2018;412538;2018Q1;55337,43;321380,96;163,0
2018;412538;2018Q2;91943,29;278338,73;175,0
2018;412538;2018Q3;70917,98;441499,59;300,0
2018;412538;2018Q4;23357,55;315651,75;367,0
2018;414131;2018Q1;364161,6;289699,31;818,0
2018;414131;2018Q2;1679,99;43514,52;817,0
2018;414131;2018Q3;1472,88;2053,34;816,0
2018;414131;2018Q4;2122,09;3291,36;815,0
2018;414352;2018Q1;9265984,16;3139782,18;6209,0
2018;414352;2018Q2;9470613,88;3230403,41;6355,0
2018;414352;2018Q3;9822854,65;3471453,57;6865,0
2018;414352;2018Q4;10316123,34;3182561,9;6942,0
2018;414492;2018Q1;29787994,22;19173849,029999997;21067,0
2018;414492;2018Q2;29728411,59;23536841,91;21364,0
2018;414492;2018Q3;29702891,49;15559787,59;21317,0
2018;414492;2018Q4;29464744,1;18625525,54;21213,0
2018;414581;2018Q1;1610050,36;701295,94;2807,0
