ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;301060;2018Q1;1156891,0354591897;496198,79182244756;1022,0;Cooperativa Médica;Pequeno;Adesao
2018;353698;2018Q4;3241170,6743552443;2593369,786616767;267,0;Cooperativa Médica;Pequeno;Adesao
2018;345776;2018Q3;487589,24923286744;325089,2684681504;570,0;Cooperativa Médica;Pequeno;Adesao
2018;354627;2018Q2;894230,8283411879;557748,12846023;1097,0;Cooperativa Médica;Pequeno;Adesao
2018;354627;2018Q1;862211,1620083856;536550,9020472453;1080,0;Cooperativa Médica;Pequeno;Adesao
2018;354619;2018Q4;1797672,507292596;1242345,3300969836;2189,0;Cooperativa Médica;Pequeno;Adesao
2018;354619;2018Q3;1767003,087292596;1171704,8000969838;2213,0;Cooperativa Médica;Pequeno;Adesao
2018;354619;2018Q2;1733493,1181222124;1129916,9897090492;2255,0;Cooperativa Médica;Pequeno;Adesao
2018;354619;2018Q1;1674576,977292596;900784,6800969837;2283,0;Cooperativa Médica;Pequeno;Adesao
2018;354325;2018Q4;1212287,2691656998;760550,0497656543;893,0;Cooperativa Médica;Pequeno;Adesao
2018;354325;2018Q3;1122990,828898116;1000257,0332285139;891,0;Cooperativa Médica;Pequeno;Adesao
2018;354325;2018Q2;1139630,568898116;767437,2732285139;891,0;Cooperativa Médica;Pequeno;Adesao
2018;354325;2018Q1;1126519,873038068;841855,293777318;892,0;Cooperativa Médica;Pequeno;Adesao
2018;354279;2018Q4;146249,21948906395;184511,02987484323;162,0;Cooperativa Médica;Pequeno;Adesao
2018;354279;2018Q3;142728,51971299655;217966,46907463198;161,0;Cooperativa Médica;Pequeno;Adesao
2018;354279;2018Q2;135910,83539896976;232822,31552526235;158,0;Cooperativa Médica;Pequeno;Adesao
2018;354279;2018Q1;134776,77539896977;161534,39552526237;153,0;Cooperativa Médica;Pequeno;Adesao
2018;353876;2018Q4;1083548,7683409294;815803,6807085706;848,0;Cooperativa Médica;Pequeno;Adesao
2018;353876;2018Q3;1057341,141169655;954136,7425444312;859,0;Cooperativa Médica;Pequeno;Adesao
2018;353876;2018Q2;1019289,4720801979;629553,7269521593;869,0;Cooperativa Médica;Pequeno;Adesao
2018;354627;2018Q3;915418,3816778963;583318,7500225548;1109,0;Cooperativa Médica;Pequeno;Adesao
2018;353876;2018Q1;1005896,0484092179;895291,9497948387;866,0;Cooperativa Médica;Pequeno;Adesao
2018;353698;2018Q3;1510859,9052149183;1349485,687794411;266,0;Cooperativa Médica;Pequeno;Adesao
2018;354678;2018Q3;555834,3842512585;278232,3030903097;1358,0;Cooperativa Médica;Pequeno;Adesao
2018;354678;2018Q2;543085,1203301585;266679,10845014796;1373,0;Cooperativa Médica;Pequeno;Adesao
2018;361941;2018Q2;827506,981905662;535607,2918328983;544,0;Cooperativa Médica;Pequeno;Adesao
2018;361941;2018Q1;801575,511905662;618589,4118328983;553,0;Cooperativa Médica;Pequeno;Adesao
2018;358282;2018Q4;1450718,730678461;913198,3289059126;996,0;Cooperativa Médica;Pequeno;Adesao
2018;358282;2018Q2;1383573,4761319733;1033564,3173293686;1026,0;Cooperativa Médica;Pequeno;Adesao
2018;358282;2018Q1;1271598,0431373897;958221,5425578656;1043,0;Cooperativa Médica;Pequeno;Adesao
2018;357138;2018Q4;12977225,897692367;14788897,909190465;75,0;Cooperativa Médica;Pequeno;Adesao
2018;357138;2018Q3;12781486,297692368;6199506,459190464;75,0;Cooperativa Médica;Pequeno;Adesao
2018;357138;2018Q2;12603261,887692368;9094166,509190464;76,0;Cooperativa Médica;Pequeno;Adesao
2018;355577;2018Q4;3146139,036657632;649943,7638865274;1732,0;Cooperativa Médica;Pequeno;Adesao
2018;352519;2018Q1;4110565,445022809;2921025,444241253;6242,0;Cooperativa Médica;Pequeno;Adesao
2018;355577;2018Q3;3167763,076657632;2518575,0338865276;1841,0;Cooperativa Médica;Pequeno;Adesao
2018;355577;2018Q2;3097923,926074466;2403333,071079755;1864,0;Cooperativa Médica;Pequeno;Adesao
2018;355577;2018Q1;3017389,73061027;2355173,3711471898;1888,0;Cooperativa Médica;Pequeno;Adesao
2018;354996;2018Q4;22019,609335211073;60275,790757275616;2444,0;Cooperativa Médica;Pequeno;Adesao
2018;354996;2018Q3;23430,501994366776;16434,177728173167;2511,0;Cooperativa Médica;Pequeno;Adesao
