ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;418072;2018Q1;551566,15;633046,95;373,0;Seguradora;Pequeno;Adesao
2018;418072;2018Q2;517950,53;496626,33;298,0;Seguradora;Pequeno;Adesao
2018;418072;2018Q3;460732,53;278622,31;259,0;Seguradora;Pequeno;Adesao
2018;418072;2018Q4;432837,9;291262,69;246,0;Seguradora;Pequeno;Adesao
2019;418072;2019Q2;427627,56;304974,05;7,0;Seguradora;Pequeno;Adesao
2019;418072;2019Q3;19731,01;29370,27;7,0;Seguradora;Pequeno;Adesao
2019;418072;2019Q4;28385,75;21568,53;6,0;Seguradora;Pequeno;Adesao
2020;418072;2020Q1;146125,75;39711,75;5,0;Seguradora;Pequeno;Adesao
2020;418072;2020Q2;81314,12;14805,65;5,0;Seguradora;Pequeno;Adesao
2020;418072;2020Q3;20810,1;2164,99;5,0;Seguradora;Pequeno;Adesao
2020;418072;2020Q4;20810,1;191387,12;5,0;Seguradora;Pequeno;Adesao
2021;418072;2021Q1;29634,21;2447,85;3,0;Seguradora;Pequeno;Adesao
2021;418072;2021Q2;14596,84;1840,81;1,0;Seguradora;Pequeno;Adesao
2021;418072;2021Q3;8648,28;1426,69;1,0;Seguradora;Pequeno;Adesao
2021;418072;2021Q4;6486,21;2311,1;1,0;Seguradora;Pequeno;Adesao
