ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;303976;2018Q1;74416043,39436859;54716656,29990422;85921;Cooperativa Médica;Grande;Empresarial
2018;303976;2018Q1;74416043,39436859;54716656,29990422;5736;Cooperativa Médica;Grande;Empresarial
2018;342084;2018Q3;126983572,11626463;120011866,14727914;113349;Cooperativa Médica;Grande;Empresarial
2018;342084;2018Q3;126983572,11626463;120011866,14727914;611;Cooperativa Médica;Grande;Empresarial
2018;351202;2018Q2;87064336,00870883;68930393,20893607;64495;Cooperativa Médica;Grande;Empresarial
2018;351202;2018Q2;87064336,00870883;68930393,20893607;5664;Cooperativa Médica;Grande;Empresarial
2018;351202;2018Q3;88740502,82870883;67809885,49893606;65118;Cooperativa Médica;Grande;Empresarial
2018;351202;2018Q3;88740502,82870883;67809885,49893606;5664;Cooperativa Médica;Grande;Empresarial
2018;351202;2018Q4;152702632,43387353;122157638,4331918;67532;Cooperativa Médica;Grande;Empresarial
2018;351202;2018Q4;152702632,43387353;122157638,4331918;5558;Cooperativa Médica;Grande;Empresarial
2018;352501;2018Q1;379018811,89009875;321752609,29372644;337458;Cooperativa Médica;Grande;Empresarial
2018;352501;2018Q1;379018811,89009875;321752609,29372644;74366;Cooperativa Médica;Grande;Empresarial
2018;352501;2018Q2;372902445,69105256;359011925,86257946;340506;Cooperativa Médica;Grande;Empresarial
2018;352501;2018Q2;372902445,69105256;359011925,86257946;72865;Cooperativa Médica;Grande;Empresarial
2018;352501;2018Q3;420078299,0830791;386271656,0670042;353089;Cooperativa Médica;Grande;Empresarial
2018;352501;2018Q3;420078299,0830791;386271656,0670042;72838;Cooperativa Médica;Grande;Empresarial
2018;348295;2018Q2;91186976,5174689;66369043,056734964;57755;Cooperativa Médica;Grande;Empresarial
2018;348295;2018Q2;91186976,5174689;66369043,056734964;85;Cooperativa Médica;Grande;Empresarial
2018;352501;2018Q4;448604479,83576965;592332071,4266899;352979;Cooperativa Médica;Grande;Empresarial
2018;352501;2018Q4;448604479,83576965;592332071,4266899;69830;Cooperativa Médica;Grande;Empresarial
2018;353353;2018Q2;25823612,42905025;23421299,618724052;26055;Cooperativa Médica;Grande;Empresarial
2018;353353;2018Q3;29119075,203582603;24987723,875079997;26431;Cooperativa Médica;Grande;Empresarial
2018;353353;2018Q4;32013514,92556416;25662886,620688636;27658;Cooperativa Médica;Grande;Empresarial
2018;354031;2018Q1;33130004,247982226;22826026,341756966;47715;Cooperativa Médica;Grande;Empresarial
2018;354031;2018Q1;33130004,247982226;22826026,341756966;5585;Cooperativa Médica;Grande;Empresarial
2018;354031;2018Q2;34278441,54798222;25191099,801756967;48597;Cooperativa Médica;Grande;Empresarial
2018;354031;2018Q2;34278441,54798222;25191099,801756967;5488;Cooperativa Médica;Grande;Empresarial
2018;354031;2018Q4;51972469,55605334;30145541,544729106;49349;Cooperativa Médica;Grande;Empresarial
2018;354031;2018Q4;51972469,55605334;30145541,544729106;5748;Cooperativa Médica;Grande;Empresarial
2018;348295;2018Q3;95087638,1774689;71802236,45673496;58814;Cooperativa Médica;Grande;Empresarial
2018;348295;2018Q3;95087638,1774689;71802236,45673496;85;Cooperativa Médica;Grande;Empresarial
2018;348295;2018Q1;89810161,7074689;70766461,64673495;57418;Cooperativa Médica;Grande;Empresarial
2018;348295;2018Q1;89810161,7074689;70766461,64673495;89;Cooperativa Médica;Grande;Empresarial
2018;355691;2018Q2;80883294,45160383;68920771,98258927;79647;Cooperativa Médica;Grande;Empresarial
2018;355691;2018Q2;80883294,45160383;68920771,98258927;35854;Cooperativa Médica;Grande;Empresarial
2018;343889;2018Q2;375651212,2157849;291273971,685244;731536;Cooperativa Médica;Grande;Empresarial
2018;343889;2018Q2;375651212,2157849;291273971,685244;843;Cooperativa Médica;Grande;Empresarial
2018;343269;2018Q2;34742847,71930581;28035448,86479351;63041;Cooperativa Médica;Grande;Empresarial
2018;343269;2018Q2;34742847,71930581;28035448,86479351;74;Cooperativa Médica;Grande;Empresarial
2018;343269;2018Q3;39126075,02806398;29677420,49507724;63576;Cooperativa Médica;Grande;Empresarial
2018;343269;2018Q3;39126075,02806398;29677420,49507724;83;Cooperativa Médica;Grande;Empresarial
2018;343269;2018Q4;41394343,62118459;16446910,097226333;63088;Cooperativa Médica;Grande;Empresarial
2018;343269;2018Q4;41394343,62118459;16446910,097226333;872;Cooperativa Médica;Grande;Empresarial
2018;343731;2018Q1;44252869,226806276;73377851,89038852;55341;Cooperativa Médica;Grande;Empresarial
2018;343731;2018Q1;44252869,226806276;73377851,89038852;2351;Cooperativa Médica;Grande;Empresarial
2018;343731;2018Q2;43539542,510038555;84121383,40945286;54080;Cooperativa Médica;Grande;Empresarial
2018;343731;2018Q2;43539542,510038555;84121383,40945286;2315;Cooperativa Médica;Grande;Empresarial
2018;343731;2018Q3;49041468,901577584;24932043,19507932;48365;Cooperativa Médica;Grande;Empresarial
