ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2020;477;2020Q4;5257934,88;3418515,38;28469,0;Seguradora;Grande;Empresarial
2021;477;2021Q1;14645425,29;11328981,6;33373,0;Seguradora;Grande;Empresarial
2021;477;2021Q2;17095294,45;13199815,68;34356,0;Seguradora;Grande;Empresarial
2021;477;2021Q3;18431654,25;12994265,96;34709,0;Seguradora;Grande;Empresarial
2021;477;2021Q4;21569561,07;14007620,6;35500,0;Seguradora;Grande;Empresarial
2018;477;2018Q1;115108239,6;82873441,03;102485,0;Seguradora;Grande;Empresarial
2018;477;2018Q2;113365735,9;90998251,49;96960,0;Seguradora;Grande;Empresarial
2018;477;2018Q3;107284412,8;86294698,66;88695,0;Seguradora;Grande;Empresarial
2018;477;2018Q4;107627579,1;82393876,54;85884,0;Seguradora;Grande;Empresarial
2019;477;2019Q1;106803066,9;82279902,3;79815,0;Seguradora;Grande;Empresarial
2019;477;2019Q2;90302646,32;82152326,92;76860,0;Seguradora;Grande;Empresarial
2019;477;2019Q3;96291242,03;74236835,67;76012,0;Seguradora;Grande;Empresarial
2019;477;2019Q4;99279829,02;77322414,72;73926,0;Seguradora;Grande;Empresarial
2020;477;2020Q1;99501752,27;78508657,85;79331,0;Seguradora;Grande;Empresarial
2020;477;2020Q2;105848034,6;57693069,83;81882,0;Seguradora;Grande;Empresarial
2020;477;2020Q3;112082638,6;74220480,39;82239,0;Seguradora;Grande;Empresarial
2020;477;2020Q4;107669714,7;82010297,38;57341,0;Seguradora;Grande;Empresarial
2021;477;2021Q1;112977370,6;79801716,55;62400,0;Seguradora;Grande;Empresarial
2021;477;2021Q2;118700560,5;94097390,57;65689,0;Seguradora;Grande;Empresarial
2021;477;2021Q3;124372280,8;98626494,13;65880,0;Seguradora;Grande;Empresarial
2021;477;2021Q4;128620482,4;96885103,47;72196,0;Seguradora;Grande;Empresarial
2018;5711;2018Q1;596422189,1;566350346,1;495913,0;Seguradora;Grande;Empresarial
2018;5711;2018Q2;681473119,1;654889702,4;495974,0;Seguradora;Grande;Empresarial
2018;5711;2018Q3;689223613,2;662464331,3;513297,0;Seguradora;Grande;Empresarial
