ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;314668;2018Q1;24730989,910000004;12895741,370000001;29484,0;Autogestão;Médio;Empresarial
2018;314668;2018Q2;24373212,840000004;14260328,58;29030,0;Autogestão;Médio;Empresarial
2018;314668;2018Q3;24166601,93;13166874,3;29056,0;Autogestão;Médio;Empresarial
2018;314668;2018Q4;26409469,04;15542983,41;29122,0;Autogestão;Médio;Empresarial
2018;315044;2018Q1;4698305,82;80793,42;22418,0;Autogestão;Médio;Empresarial
2018;315044;2018Q2;4791995,84;82299,58;22295,0;Autogestão;Médio;Empresarial
2018;315044;2018Q3;5364937,6;125496,49;22173,0;Autogestão;Médio;Empresarial
2018;315044;2018Q4;5276764,24;253593,44;22230,0;Autogestão;Médio;Empresarial
2018;316873;2018Q1;15573565,17;12737516,53;20231,0;Autogestão;Médio;Empresarial
2018;316873;2018Q2;16599605,75;13865909,92;20182,0;Autogestão;Médio;Empresarial
2018;316873;2018Q3;16537446,24;13824580,15;20147,0;Autogestão;Médio;Empresarial
2018;316873;2018Q4;16656280,67;12521299,24;20183,0;Autogestão;Médio;Empresarial
2018;320820;2018Q1;8919820,77;6195690,47;18633,0;Autogestão;Médio;Empresarial
2018;320820;2018Q2;9284993,76;6345810,32;19447,0;Autogestão;Médio;Empresarial
2018;320820;2018Q3;9396144,99;7712474,32;19933,0;Autogestão;Médio;Empresarial
2018;320820;2018Q4;9696941,1;8054761,02;19872,0;Autogestão;Médio;Empresarial
2018;324477;2018Q1;131967695,9;119360089,6;67068,0;Autogestão;Médio;Empresarial
2018;324477;2018Q2;134289225,8;127979371,2;63028,0;Autogestão;Médio;Empresarial
2018;324477;2018Q3;129615874,1;123730736,1;60642,0;Autogestão;Médio;Empresarial
2018;324477;2018Q4;127757446,6;116940075,8;59219,0;Autogestão;Médio;Empresarial
2018;324493;2018Q1;2205994,78;1180641,89;2780,0;Autogestão;Médio;Empresarial
2018;324493;2018Q2;2243233,55;1592591,68;2849,0;Autogestão;Médio;Empresarial
2018;324493;2018Q3;2366378,89;1562173,54;2971,0;Autogestão;Médio;Empresarial
2018;324493;2018Q4;2878890,16;2119215,51;3064,0;Autogestão;Médio;Empresarial
2018;331317;2018Q1;1925361,07;1611388,17;9959,0;Autogestão;Médio;Empresarial
2018;331317;2018Q2;1478746,28;1222092,19;10010,0;Autogestão;Médio;Empresarial
2018;331317;2018Q3;1725670,99;1380305,91;9980,0;Autogestão;Médio;Empresarial
2018;331317;2018Q4;1614939,18;1322557,12;10038,0;Autogestão;Médio;Empresarial
2018;338648;2018Q1;22379554,57;18254307,25;25541,0;Autogestão;Médio;Empresarial
2018;338648;2018Q2;22453723,58;20464021,74;25531,0;Autogestão;Médio;Empresarial
2018;338648;2018Q3;23942641,17;21164176,6;25493,0;Autogestão;Médio;Empresarial
2018;338648;2018Q4;23993411,49;22716761,43;25382,0;Autogestão;Médio;Empresarial
2018;342611;2018Q1;42492237,67;35817267,97;25498,0;Autogestão;Médio;Empresarial
2018;342611;2018Q2;49151716,51;40101513,82;25405,0;Autogestão;Médio;Empresarial
2018;342611;2018Q3;49826232,75;43487212,95;25311,0;Autogestão;Médio;Empresarial
2018;342611;2018Q4;49171436,68;36232377,03;25197,0;Autogestão;Médio;Empresarial
2018;346926;2018Q1;166416815,9;142086587,3;63827,0;Autogestão;Médio;Empresarial
2018;346926;2018Q2;162788910,1;125831142,5;63555,0;Autogestão;Médio;Empresarial
2018;346926;2018Q3;187354090,0;140553018,6;61902,0;Autogestão;Médio;Empresarial
2018;346926;2018Q4;184035639,9;140126032,7;61390,0;Autogestão;Médio;Empresarial
2018;355151;2018Q1;50909454,67;44086732,94;42045,0;Autogestão;Médio;Empresarial
2018;355151;2018Q2;51085267,57;48289569,69;41923,0;Autogestão;Médio;Empresarial
2018;355151;2018Q3;51076617,36;52653764,33;41789,0;Autogestão;Médio;Empresarial
2018;355151;2018Q4;52753293,77;55231998,81;41655,0;Autogestão;Médio;Empresarial
2018;356476;2018Q1;23969997,42;3768508,6;19232,0;Autogestão;Médio;Empresarial
2018;356476;2018Q2;24083216,59;4269757,15;19152,0;Autogestão;Médio;Empresarial
2018;356476;2018Q3;26269087,79;4790150,98;19073,0;Autogestão;Médio;Empresarial
2018;356476;2018Q4;13354323,23;4615996,68;18957,0;Autogestão;Médio;Empresarial
2018;361011;2018Q1;36626753,27;38278552,02;8541,0;Autogestão;Médio;Empresarial
2018;361011;2018Q2;36378373,71;39147716,9;8483,0;Autogestão;Médio;Empresarial
2018;361011;2018Q3;37692209,13;35607090,12;8406,0;Autogestão;Médio;Empresarial
2018;361011;2018Q4;38392984,89;32545953,65;8254,0;Autogestão;Médio;Empresarial
2018;385697;2018Q1;27790445,84;29069180,0;37797,0;Autogestão;Médio;Empresarial
2018;385697;2018Q2;28722787,21;33502980,76;37868,0;Autogestão;Médio;Empresarial
2018;385697;2018Q3;52851370,81;34773859,47;37858,0;Autogestão;Médio;Empresarial
2018;385697;2018Q4;108991462,3;96071934,98;37775,0;Autogestão;Médio;Empresarial
2018;416568;2018Q1;8822726,28;9422761,73;43052,0;Autogestão;Médio;Empresarial
2018;416568;2018Q2;8790649,66;10316356,88;43094,0;Autogestão;Médio;Empresarial
2018;416568;2018Q3;8785734,53;10547987,76;43268,0;Autogestão;Médio;Empresarial
2018;416568;2018Q4;8779802,71;10889505,83;43336,0;Autogestão;Médio;Empresarial
2018;416584;2018Q1;4950389,31;3974956,22;19269,0;Autogestão;Médio;Empresarial
2018;416584;2018Q2;4913836,94;4306973,22;19345,0;Autogestão;Médio;Empresarial
2018;416584;2018Q3;5163999,65;4998556,48;19634,0;Autogestão;Médio;Empresarial
2018;416584;2018Q4;5201662,16;4279495,17;19767,0;Autogestão;Médio;Empresarial
2018;417505;2018Q1;83077333,14;76314222,3;60474,0;Autogestão;Médio;Empresarial
2018;417505;2018Q2;83073152,89;81861978,22;60114,0;Autogestão;Médio;Empresarial
2018;417505;2018Q3;83013015,54;85155476,74;59934,0;Autogestão;Médio;Empresarial
2018;417505;2018Q4;111940442,9;87459971,67;59889,0;Autogestão;Médio;Empresarial
2018;418285;2018Q1;22070408,7;20905080,66;42536,0;Autogestão;Médio;Empresarial
2018;418285;2018Q2;24962076,1;23262628,75;42542,0;Autogestão;Médio;Empresarial
2018;418285;2018Q3;23833787,89;22351440,58;41998,0;Autogestão;Médio;Empresarial
2018;418285;2018Q4;23437429,24;21115388,74;41005,0;Autogestão;Médio;Empresarial
