ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;301728;2018Q1;7899794,61;5618187,39;28245,0;Medicina de Grupo;Médio;Empresarial
2018;301728;2018Q2;8129743,36;5549151,03;28437,0;Medicina de Grupo;Médio;Empresarial
2018;301728;2018Q3;8479976,55;5798937,96;28882,0;Medicina de Grupo;Médio;Empresarial
2018;301728;2018Q4;8774820,81;6249971,17;29619,0;Medicina de Grupo;Médio;Empresarial
2018;303739;2018Q1;14675466,4;11912949,76;39431,0;Medicina de Grupo;Médio;Empresarial
2018;303739;2018Q2;15736720,95;12767140,89;42138,0;Medicina de Grupo;Médio;Empresarial
2018;303739;2018Q3;16005836,0;13983776,35;42320,0;Medicina de Grupo;Médio;Empresarial
2018;303739;2018Q4;16064256,23;12988229,01;38397,0;Medicina de Grupo;Médio;Empresarial
2018;311359;2018Q1;5583691,11;5546434,77;12516,0;Medicina de Grupo;Médio;Empresarial
2018;311359;2018Q2;5813442,74;5704637,54;12584,0;Medicina de Grupo;Médio;Empresarial
2018;311359;2018Q3;6191181,3;6118191,33;12670,0;Medicina de Grupo;Médio;Empresarial
2018;311359;2018Q4;6295164,47;6214678,34;12290,0;Medicina de Grupo;Médio;Empresarial
2018;315265;2018Q1;10742879,620000001;7201082,6899999995;15980,0;Medicina de Grupo;Médio;Empresarial
2018;315265;2018Q2;10957540,84;8321478,17;15909,0;Medicina de Grupo;Médio;Empresarial
2018;315265;2018Q3;10211414,59;7594860,15;15532,0;Medicina de Grupo;Médio;Empresarial
2018;315265;2018Q4;10904255,95;8103225,38;15273,0;Medicina de Grupo;Médio;Empresarial
2018;320510;2018Q1;3638564,01;2727730,71;5614,0;Medicina de Grupo;Médio;Empresarial
2018;320510;2018Q2;3858353,94;3300579,4;6158,0;Medicina de Grupo;Médio;Empresarial
2018;320510;2018Q3;4195607,54;3150495,9;6214,0;Medicina de Grupo;Médio;Empresarial
2018;320510;2018Q4;4203222,1;2752703,89;6367,0;Medicina de Grupo;Médio;Empresarial
2018;325236;2018Q1;5183033,42;2987574,77;13295,0;Medicina de Grupo;Médio;Empresarial
2018;325236;2018Q2;5200838,69;3498350,17;13408,0;Medicina de Grupo;Médio;Empresarial
2018;325236;2018Q3;5537847,71;3378741,06;13113,0;Medicina de Grupo;Médio;Empresarial
2018;325236;2018Q4;5567987,61;3321915,7;13214,0;Medicina de Grupo;Médio;Empresarial
2018;326500;2018Q1;29299348,28;22740968,72;70163,0;Medicina de Grupo;Médio;Empresarial
2018;326500;2018Q2;32715363,48;26324136,21;69883,0;Medicina de Grupo;Médio;Empresarial
