ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;301060;2018Q1;6948650,823518498;3758778,344105644;12089;Cooperativa Médica;Pequeno;Empresarial
2018;342386;2018Q1;9509250,594817163;7549599,580260544;4589;Cooperativa Médica;Pequeno;Empresarial
2018;354627;2018Q4;3755408,4847653355;2319228,164565625;5905;Cooperativa Médica;Pequeno;Empresarial
2018;354627;2018Q3;3563337,8595411256;2401450,3338494417;5821;Cooperativa Médica;Pequeno;Empresarial
2018;354627;2018Q2;3426646,0728467694;2900150,8957924666;5591;Cooperativa Médica;Pequeno;Empresarial
2018;354627;2018Q1;3306304,6128467694;2396591,865792467;5328;Cooperativa Médica;Pequeno;Empresarial
2018;354619;2018Q4;1002850,1227594502;726950,3833641864;2602;Cooperativa Médica;Pequeno;Empresarial
2018;354619;2018Q3;953546,638553306;722386,5260011221;2559;Cooperativa Médica;Pequeno;Empresarial
2018;354619;2018Q2;908776,5227594501;654932,9533641865;2478;Cooperativa Médica;Pequeno;Empresarial
2018;354619;2018Q1;896346,0759277937;673442,1172705053;2474;Cooperativa Médica;Pequeno;Empresarial
2018;354325;2018Q4;8661309,697209211;5341209,2312263185;7973;Cooperativa Médica;Pequeno;Empresarial
2018;354325;2018Q3;5754458,094263596;4220811,452924561;7834;Cooperativa Médica;Pequeno;Empresarial
2018;354325;2018Q2;5983270,874263597;4043656,6729245605;7688;Cooperativa Médica;Pequeno;Empresarial
2018;354325;2018Q1;5316706,024263597;3704831,442924561;7544;Cooperativa Médica;Pequeno;Empresarial
2018;354279;2018Q4;11399048,49944647;9784783,108823828;4747;Cooperativa Médica;Pequeno;Empresarial
2018;354279;2018Q3;6635813,086851178;5981125,700392057;4740;Cooperativa Médica;Pequeno;Empresarial
2018;354279;2018Q2;6283527,256851177;5498007,970392058;3940;Cooperativa Médica;Pequeno;Empresarial
2018;354279;2018Q1;6056344,626851177;4996287,410392057;4443;Cooperativa Médica;Pequeno;Empresarial
2018;353876;2018Q4;4511974,131987466;1335326,541585549;10701;Cooperativa Médica;Pequeno;Empresarial
2018;353876;2018Q3;4279068,571987466;4443734,011585549;10873;Cooperativa Médica;Pequeno;Empresarial
2018;353876;2018Q2;4270204,138688772;3348602,2120663235;10829;Cooperativa Médica;Pequeno;Empresarial
2018;353876;2018Q1;4158367,8973362963;3197709,3947625784;10779;Cooperativa Médica;Pequeno;Empresarial
2018;353698;2018Q4;2244654,6979311863;466788,1580434134;2586;Cooperativa Médica;Pequeno;Empresarial
2018;353698;2018Q3;2198106,075200069;618339,8823899871;2608;Cooperativa Médica;Pequeno;Empresarial
2018;353698;2018Q2;2122899,1841675276;606134,0322918757;2636;Cooperativa Médica;Pequeno;Empresarial
2018;354678;2018Q1;1314798,2921662338;708884,284362444;4227;Cooperativa Médica;Pequeno;Empresarial
2018;354678;2018Q2;1335650,0321662338;746322,4343624439;4221;Cooperativa Médica;Pequeno;Empresarial
