ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;304212;2018Q1;265947,91692104336;98512,13438006102;1865,0;Medicina de Grupo;Pequeno;Empresarial
2018;413160;2018Q1;5896408,777270379;0,0;8017,0;Medicina de Grupo;Pequeno;Empresarial
2018;419150;2018Q3;4989339,058880278;3461509,8495585155;9015,0;Medicina de Grupo;Pequeno;Empresarial
2018;419150;2018Q2;4741176,783384834;3135747,7676435085;9191,0;Medicina de Grupo;Pequeno;Empresarial
2018;419150;2018Q1;4417567,023384835;3763034,9376435084;9316,0;Medicina de Grupo;Pequeno;Empresarial
2018;419052;2018Q4;90158,96098566115;43174,507915103044;136,0;Medicina de Grupo;Pequeno;Empresarial
2018;419052;2018Q3;83403,11633811294;41136,057361632316;116,0;Medicina de Grupo;Pequeno;Empresarial
2018;419052;2018Q2;79050,49633811295;44439,727361632315;101,0;Medicina de Grupo;Pequeno;Empresarial
2018;419052;2018Q1;76344,04633811295;32606,31736163232;102,0;Medicina de Grupo;Pequeno;Empresarial
2018;418951;2018Q4;15171660,183286909;14136778,324353663;4221,0;Medicina de Grupo;Pequeno;Empresarial
2018;418951;2018Q3;14689967,653286908;13682533,744353663;4404,0;Medicina de Grupo;Pequeno;Empresarial
2018;418951;2018Q2;14743596,380139273;14409209,586939005;4625,0;Medicina de Grupo;Pequeno;Empresarial
2018;418951;2018Q1;14158275,773286909;13102958,124353664;4814,0;Medicina de Grupo;Pequeno;Empresarial
2018;418919;2018Q4;3350110,109534523;2714112,4053448993;8414,0;Medicina de Grupo;Pequeno;Empresarial
2018;418919;2018Q3;3225699,390155159;2915375,4115517;7995,0;Medicina de Grupo;Pequeno;Empresarial
2018;418919;2018Q2;3009409,300155159;2607455,0315517;7553,0;Medicina de Grupo;Pequeno;Empresarial
2018;418919;2018Q1;2913300,1901551588;2200294,1915517002;7429,0;Medicina de Grupo;Pequeno;Empresarial
2018;418854;2018Q4;1854149,8702229243;1182962,42904902;4412,0;Medicina de Grupo;Pequeno;Empresarial
2018;418854;2018Q3;1999334,2302229241;1261550,7690490198;5020,0;Medicina de Grupo;Pequeno;Empresarial
2018;418854;2018Q2;1968339,398478663;1468899,0013506222;5289,0;Medicina de Grupo;Pequeno;Empresarial
2018;418854;2018Q1;1913305,401075489;1360134,650551338;5452,0;Medicina de Grupo;Pequeno;Empresarial
2018;419486;2018Q2;847038,5658974203;554394,26524349;4846,0;Medicina de Grupo;Pequeno;Empresarial
2018;419150;2018Q4;5179570,794350052;3501936,7951544677;8902,0;Medicina de Grupo;Pequeno;Empresarial
2018;419486;2018Q1;765336,2619224179;391577,6418806531;4801,0;Medicina de Grupo;Pequeno;Empresarial
2018;420000;2018Q2;1420946,2045133607;350257,34244475316;3080,0;Medicina de Grupo;Pequeno;Empresarial
2018;420000;2018Q1;1349959,3145133606;165913,8524447531;3010,0;Medicina de Grupo;Pequeno;Empresarial
2018;419974;2018Q4;115207,68811137705;44710,39893058812;263,0;Medicina de Grupo;Pequeno;Empresarial
2018;419974;2018Q3;108943,38336358297;36664,342395620784;259,0;Medicina de Grupo;Pequeno;Empresarial
2018;419974;2018Q2;104050,13336358297;68804,43239562078;251,0;Medicina de Grupo;Pequeno;Empresarial
2018;419974;2018Q1;103149,135161457;41407,966278170315;262,0;Medicina de Grupo;Pequeno;Empresarial
2018;419958;2018Q4;1886074,063448328;1462873,9549135761;349,0;Medicina de Grupo;Pequeno;Empresarial
2018;419958;2018Q3;1764763,40770137;1600522,0977641724;338,0;Medicina de Grupo;Pequeno;Empresarial
2018;419958;2018Q1;1689177,0611489317;1360105,6295580792;244,0;Medicina de Grupo;Pequeno;Empresarial
2018;420000;2018Q4;1612778,5996535383;344129,25763422734;3098,0;Medicina de Grupo;Pequeno;Empresarial
2018;419753;2018Q4;78581,06448577471;34699,06991245029;336,0;Medicina de Grupo;Pequeno;Empresarial
2018;419753;2018Q3;79971,97448577471;35635,7099124503;333,0;Medicina de Grupo;Pequeno;Empresarial
2018;419753;2018Q2;87300,90006857763;35072,28014901867;368,0;Medicina de Grupo;Pequeno;Empresarial
2018;419753;2018Q1;84947,31095987295;32233,510026080734;437,0;Medicina de Grupo;Pequeno;Empresarial
2018;419699;2018Q4;590570,0394994813;502594,62088991166;1237,0;Medicina de Grupo;Pequeno;Empresarial
2018;419699;2018Q3;612135,111987931;342223,1055047311;1238,0;Medicina de Grupo;Pequeno;Empresarial
2018;419699;2018Q2;586535,0690131063;351759,63271544565;1188,0;Medicina de Grupo;Pequeno;Empresarial
2018;419699;2018Q1;538442,6494994813;316288,22088991164;1056,0;Medicina de Grupo;Pequeno;Empresarial
2018;419486;2018Q4;918212,9177157462;547501,0172925044;4977,0;Medicina de Grupo;Pequeno;Empresarial
2018;418803;2018Q4;3821350,903841028;3005831,3989284737;6037,0;Medicina de Grupo;Pequeno;Empresarial
2018;419486;2018Q3;884599,0644644157;541566,1555833525;4966,0;Medicina de Grupo;Pequeno;Empresarial
2018;420000;2018Q3;1554333,87131974;340626,9474762665;3115,0;Medicina de Grupo;Pequeno;Empresarial
2018;418137;2018Q1;371035,3992448236;49601,138461378745;1013,0;Medicina de Grupo;Pequeno;Empresarial
2018;415901;2018Q4;823048,8036062629;438835,89601759467;4924,0;Medicina de Grupo;Pequeno;Empresarial
2018;415901;2018Q3;776722,9876776093;417565,8441276365;4749,0;Medicina de Grupo;Pequeno;Empresarial
2018;415901;2018Q2;737830,2476776093;447415,79412763653;4392,0;Medicina de Grupo;Pequeno;Empresarial
2018;415901;2018Q1;737094,5610385183;409306,3757271323;4382,0;Medicina de Grupo;Pequeno;Empresarial
2018;415081;2018Q4;458471,34957396216;222993,54526536036;508,0;Medicina de Grupo;Pequeno;Empresarial
2018;415081;2018Q3;463345,88957396214;648728,2952653604;493,0;Medicina de Grupo;Pequeno;Empresarial
2018;415081;2018Q2;458860,4212781136;392634,6742039189;509,0;Medicina de Grupo;Pequeno;Empresarial
2018;415081;2018Q1;395176,09957396216;413818,3152653604;559,0;Medicina de Grupo;Pequeno;Empresarial
2018;413551;2018Q4;113367,0626421289;78091,73371686903;151,0;Medicina de Grupo;Pequeno;Empresarial
2018;413551;2018Q3;109414,69523696392;77246,87081541507;151,0;Medicina de Grupo;Pequeno;Empresarial
2018;413551;2018Q2;95700,79606045358;58981,03273385797;105,0;Medicina de Grupo;Pequeno;Empresarial
2018;413551;2018Q1;83080,24606045359;75380,29273385796;107,0;Medicina de Grupo;Pequeno;Empresarial
2018;413291;2018Q4;305366,99810122454;0,0;1047,0;Medicina de Grupo;Pequeno;Empresarial
2018;413291;2018Q3;286703,05810122454;0,0;1051,0;Medicina de Grupo;Pequeno;Empresarial
2018;413291;2018Q2;282056,99707151565;0,0;1043,0;Medicina de Grupo;Pequeno;Empresarial
2018;413291;2018Q1;273889,0767260354;0,0;1051,0;Medicina de Grupo;Pequeno;Empresarial
2018;413160;2018Q4;6470656,885862026;0,0;7418,0;Medicina de Grupo;Pequeno;Empresarial
2018;413160;2018Q3;6345339,664873969;0,0;7839,0;Medicina de Grupo;Pequeno;Empresarial
2018;417491;2018Q2;9514032,632922996;10489514,561221967;7295,0;Medicina de Grupo;Pequeno;Empresarial
2018;418803;2018Q2;3540491,3348917793;3043176,3819527887;6698,0;Medicina de Grupo;Pequeno;Empresarial
2018;418803;2018Q3;3688708,0051885783;2973678,586298508;6291,0;Medicina de Grupo;Pequeno;Empresarial
2018;417491;2018Q1;9253318,52989436;9685225,763682697;8965,0;Medicina de Grupo;Pequeno;Empresarial
2018;418731;2018Q4;1465478,6801901204;1425500,9778782723;2564,0;Medicina de Grupo;Pequeno;Empresarial
2018;418731;2018Q3;1413090,8472183389;1409797,1490332484;2807,0;Medicina de Grupo;Pequeno;Empresarial
2018;418731;2018Q2;1238088,2262957706;1382208,6115442398;2766,0;Medicina de Grupo;Pequeno;Empresarial
2018;418731;2018Q1;1205976,1862957706;1167270,0215442397;2569,0;Medicina de Grupo;Pequeno;Empresarial
2018;418587;2018Q4;10289026,934752475;9955582,658004712;15388,0;Medicina de Grupo;Pequeno;Empresarial
2018;418587;2018Q3;9876643,180825286;9085362,781170864;15384,0;Medicina de Grupo;Pequeno;Empresarial
2018;418587;2018Q2;9479668,173596948;10087433,63965356;14936,0;Medicina de Grupo;Pequeno;Empresarial
2018;418587;2018Q1;9190440,260825288;9796943,541170865;14814,0;Medicina de Grupo;Pequeno;Empresarial
2018;418501;2018Q4;1560451,1748929978;1302274,4640881813;3501,0;Medicina de Grupo;Pequeno;Empresarial
2018;418501;2018Q3;1526546,421741246;1072571,3463637393;3460,0;Medicina de Grupo;Pequeno;Empresarial
2018;418501;2018Q2;1448639,4048929978;1033900,4140881812;3388,0;Medicina de Grupo;Pequeno;Empresarial
2018;418501;2018Q1;1418696,2184727583;1009300,9454598983;3375,0;Medicina de Grupo;Pequeno;Empresarial
2018;418226;2018Q4;1367176,092840731;614938,2021651203;2974,0;Medicina de Grupo;Pequeno;Empresarial
2018;418226;2018Q3;1373634,463236891;629926,901303099;3159,0;Medicina de Grupo;Pequeno;Empresarial
2018;418226;2018Q2;1314983,5110572805;645590,1169538596;3092,0;Medicina de Grupo;Pequeno;Empresarial
2018;418226;2018Q1;1277041,3828650978;594342,369577921;2778,0;Medicina de Grupo;Pequeno;Empresarial
2018;418137;2018Q4;418756,35226552916;39273,90461586376;1025,0;Medicina de Grupo;Pequeno;Empresarial
2018;418137;2018Q3;389587,3492448236;38528,73846137875;956,0;Medicina de Grupo;Pequeno;Empresarial
2018;418137;2018Q2;383319,1592448236;36173,498461378746;960,0;Medicina de Grupo;Pequeno;Empresarial
