ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;303976;2018Q1;193703806,3;121334718,0;152866;Cooperativa Médica;Grande;Individual
2018;303976;2018Q2;195905678,2;129632002,6;154193;Cooperativa Médica;Grande;Individual
2018;303976;2018Q3;201873728,6;128280804,3;153050;Cooperativa Médica;Grande;Individual
2018;303976;2018Q4;208762234,0;113654787,8;153235;Cooperativa Médica;Grande;Individual
2018;306398;2018Q1;33686136,05;24059279,22;39333;Cooperativa Médica;Grande;Individual
2018;306398;2018Q2;33986587,97;25443638,43;38776;Cooperativa Médica;Grande;Individual
2018;306398;2018Q3;34645283,12;26746590,71;38289;Cooperativa Médica;Grande;Individual
2018;306398;2018Q4;35280372,71;25925548,78;38188;Cooperativa Médica;Grande;Individual
2018;306886;2018Q1;28888616,74;20997391,96;21695;Cooperativa Médica;Grande;Individual
2018;306886;2018Q2;29029143,07;22855474,84;21564;Cooperativa Médica;Grande;Individual
2018;306886;2018Q3;30246633,09;23348873,91;21409;Cooperativa Médica;Grande;Individual
2018;306886;2018Q4;30848590,28;17394160,23;21374;Cooperativa Médica;Grande;Individual
2018;312720;2018Q1;4152995,14;3499037,53;3130;Cooperativa Médica;Grande;Individual
2018;312720;2018Q2;4174829,1;4396669,91;3051;Cooperativa Médica;Grande;Individual
2018;312720;2018Q3;4283901,35;4139884,38;3007;Cooperativa Médica;Grande;Individual
2018;312720;2018Q4;4297720,69;9715415,19;2953;Cooperativa Médica;Grande;Individual
2018;312851;2018Q1;51278433,25;34825198,63;37145;Cooperativa Médica;Grande;Individual
2018;312851;2018Q2;52047190,81;37594397,25;37577;Cooperativa Médica;Grande;Individual
2018;312851;2018Q3;53971134,89;37457066,12;37714;Cooperativa Médica;Grande;Individual
2018;312851;2018Q4;55571179,94;36045551,96;37207;Cooperativa Médica;Grande;Individual
2018;315729;2018Q1;28457207,94;17443065,28;31144;Cooperativa Médica;Grande;Individual
2018;315729;2018Q2;28911900,06;18437147,3;30853;Cooperativa Médica;Grande;Individual
2018;315729;2018Q3;29738158,29;19921872,93;30552;Cooperativa Médica;Grande;Individual
2018;315729;2018Q4;30235538,24;18734112,29;30205;Cooperativa Médica;Grande;Individual
2018;317144;2018Q1;213239818,7;131943689,5;131879;Cooperativa Médica;Grande;Individual
2018;317144;2018Q2;215796111,5;155350263,1;129785;Cooperativa Médica;Grande;Individual
2018;317144;2018Q3;220893578,6;157783108,5;128359;Cooperativa Médica;Grande;Individual
