ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;314218;2018Q1;57109169,89;44576970,09;50301,0;Filantropia;Grande;Individual
2018;314218;2018Q2;58775352,21;48196639,38;52281,0;Filantropia;Grande;Individual
2018;314218;2018Q3;62207502,86;48608952,73;54994,0;Filantropia;Grande;Individual
2018;314218;2018Q4;65471705,42;49564445,14;57073,0;Filantropia;Grande;Individual
2019;314218;2019Q1;67231523,11;51266912,52;58902,0;Filantropia;Grande;Individual
2019;314218;2019Q2;70025353,12;55982675,38;61711,0;Filantropia;Grande;Individual
2019;314218;2019Q3;72751785,43;60668711,09;63930,0;Filantropia;Grande;Individual
2019;314218;2019Q4;76730323,56;63943571,02;67487,0;Filantropia;Grande;Individual
2020;314218;2020Q1;79223825,17;63751749,49;73296,0;Filantropia;Grande;Individual
2020;314218;2020Q2;84263427,51;48490186,68;79517,0;Filantropia;Grande;Individual
2020;314218;2020Q3;90164755,86;68864789,91;88219,0;Filantropia;Grande;Individual
2020;314218;2020Q4;101663967,7;76484833,71;94174,0;Filantropia;Grande;Individual
2021;314218;2021Q1;106887709,1;82434082,11;96237,0;Filantropia;Grande;Individual
2021;314218;2021Q2;115070564,9;90317237,65;95444,0;Filantropia;Grande;Individual
2021;314218;2021Q3;112962459,0;100558122,6;96886,0;Filantropia;Grande;Individual
2021;314218;2021Q4;112407588,1;98745326,65;98033,0;Filantropia;Grande;Individual
2018;339954;2018Q1;9319051,47;5478904,61;10337,0;Filantropia;Grande;Individual
2018;339954;2018Q2;9473521,05;6258474,59;10409,0;Filantropia;Grande;Individual
2018;339954;2018Q3;9825459,02;6329474,76;10328,0;Filantropia;Grande;Individual
2018;339954;2018Q4;9906134,91;4781925,67;10353,0;Filantropia;Grande;Individual
2019;339954;2019Q1;10156266,41;6178537,67;10437,0;Filantropia;Grande;Individual
2019;339954;2019Q2;10405756,83;6709532,48;10756,0;Filantropia;Grande;Individual
2019;339954;2019Q3;10980409,52;6540545,18;10974,0;Filantropia;Grande;Individual
2019;339954;2019Q4;11358418,88;10003347,37;11200,0;Filantropia;Grande;Individual
2020;339954;2020Q1;11669247,15;7600021,82;11366,0;Filantropia;Grande;Individual
2020;339954;2020Q2;12051320,45;7080727,45;11723,0;Filantropia;Grande;Individual
2020;339954;2020Q3;12363680,62;8023705,49;12138,0;Filantropia;Grande;Individual
2020;339954;2020Q4;13668330,4;10890085,74;12568,0;Filantropia;Grande;Individual
2021;339954;2021Q1;13541278,21;10552173,34;12862,0;Filantropia;Grande;Individual
2021;339954;2021Q2;14202052,21;9041784,74;13233,0;Filantropia;Grande;Individual
2021;339954;2021Q3;14267526,15;10702722,03;13374,0;Filantropia;Grande;Individual
2021;339954;2021Q4;13007403,72;12633794,69;13679,0;Filantropia;Grande;Individual
