ano;cd_ops;trimestre;receita;despesa;benef;modalidade;port_ops;contratacao
2018;884;2018Q1;428821,1;570211,29;77,0;Seguradora;Pequeno;Individual
2018;884;2018Q2;440829,08;894496,04;76,0;Seguradora;Pequeno;Individual
2018;884;2018Q3;456887,43;1024440,65;76,0;Seguradora;Pequeno;Individual
2018;884;2018Q4;437697,78;887543,13;74,0;Seguradora;Pequeno;Individual
2019;884;2019Q1;459254,58;536551,05;72,0;Seguradora;Pequeno;Individual
2019;884;2019Q2;465900,59;554354,24;72,0;Seguradora;Pequeno;Individual
2019;884;2019Q3;466029,41;476219,41;69,0;Seguradora;Pequeno;Individual
2019;884;2019Q4;468808,23;782940,82;68,0;Seguradora;Pequeno;Individual
2020;884;2020Q1;470786,48;541636,02;67,0;Seguradora;Pequeno;Individual
2020;884;2020Q2;466307,11;255650,47;66,0;Seguradora;Pequeno;Individual
2020;884;2020Q3;472693,76;479497,48;66,0;Seguradora;Pequeno;Individual
2020;884;2020Q4;468803,06;26456443,45;66,0;Seguradora;Pequeno;Individual
2021;884;2021Q1;489740,57;6408902,09;64,0;Seguradora;Pequeno;Individual
2021;884;2021Q2;512590,7;7828274,48;63,0;Seguradora;Pequeno;Individual
2021;884;2021Q3;495429,07;7919663,05;62,0;Seguradora;Pequeno;Individual
2021;884;2021Q4;472883,47;7363137,44;62,0;Seguradora;Pequeno;Individual
